Family APG2,FAMFOSTER,FamCroat,Genus,Prefix,Species,Author,v/s,Varsub,Varsubauth,chg,catpan,chg2,SYNONYMS,Voucher spec,Syn ref,Syn_notes,For/Mar_RF,LF_RF,BCI_STAT,BCI cult,,
Dryopteridaceae,~Pteridophyta,Polypodiaceae,Elaphoglossum,,longicrure,H.Christ,,,,det.,n,,"Elaphoglossum sporadolepis (Kunze) Moore sensu Croat (1978); Elaphoglossum grayumii Mickel sensu Mickel 1992 (Novon 2: 375), in part [?] - see Note","Croat 9145, 10941 (MO): det. J.Mickel 1992 (Tropicos)","Mickel, J. 1992 (Novon 2: 375); Mickel, J. 1995 (Fl Meso 1)","Croat 10996 (MO) cited as paratype of Elaphoglossum grayumii Mickel, Novon 2: 375. 1992; but Croat 10996 (MO) in Tropicos, det. E. longicrure, J.Mickel 1992; in Mickel, J. 1995 (Fl Meso 1) Croat 14973 (from BCI) cited as voucher of E.longicrure.",F,E,,,,
Gleicheniaceae,~Pteridophyta,Gleicheniaceae,Gleichenella,,pectinata,(Willd.) Ching,,,,syn.,n,,Dicranopteris pectinata (Willd.) Underw. (Croat 1978; Moran 1995; Correa et al. 2004),,"Andersen, E. et al. 2001 (Fl. Ecu.); Mickel, J. & J. Beitel 2004 (Mem NYBG 88); Moran, T. 1995 (Fl Meso 1)*",,,Vw,,,,
Woodsiaceae,~Pteridophyta,Polypodiaceae,Hemidictyum,,marginatum,(L.) C.Presl,,,,,,,,,,,,H,D,,,
Pteridaceae,~Pteridophyta,Polypodiaceae,Hemionitis,,palmata,L.,,,,new,,,,"Netting 68, Shattuck 247, Weaver 1603, Wetmore & Woodworth 67, Woodworth & Vestal 307, 313",,,F,H,,,,
Lycopodiaceae,~Pteridophyta,Lycopodiaceae,Huperzia,,dichotoma,(Jacq.) Trevis.,,,,syn.,,,Lycopodium dichotomum Jacq.,,"Øllgaard, B. 1995 (Fl Meso 1)",,F,E,,,,
Hymenophyllaceae,~Pteridophyta,Hymenophyllaceae,Hymenophyllum,,abruptum,Hook.,,,,syn.,,,Hymenophyllum brevifrons Kunze,,"Pacheco, L. 1995 (Fl Meso 1)",A.R.Smith (pers. comm. 2006) believes Hymenophyllum brevifrons is a distinct species,F,E,,,,
Lomariopsidaceae,~Pteridophyta,Polypodiaceae,Lomariopsis,,vestita,E.Fourn.,,,,,,,,,,,F,E,,,,
Lycopodiaceae,~Pteridophyta,Lycopodiaceae,Lycopodiella,,cernua,(L.) Pic. Serm.,,,,syn.,,,Lycopodium cernuum L.,,"Øllgaard, B. 1995 (Fl Meso 1)",,,Hw,,,,
Lygodiaceae,~Pteridophyta,Schizaeaceae,Lygodium,,radiatum,Prantl,,,,,,,,,,,F,V,,,,
Lygodiaceae,~Pteridophyta,Schizaeaceae,Lygodium,,venustum,Sw.,,,,,,,,,,,F,V,,,,
Thelypteridaceae,~Pteridophyta,Polypodiaceae,Macrothelypteris,,torresiana,(Gaudich.) Ching,,,,syn.,,,Thelypteris torresiana (Gaudich.) Alston,,"Smith, A. 1995 (Fl Meso 1)",,F,H,,,,
Dryopteridaceae,~Pteridophyta,Polypodiaceae,Maxonia,,apiifolia,(Sw.) C.Chr.,var.,dualis,(Donn. Sm.) C.Chr.,(+var.),,,,,,,F,E,,,,
Metaxyaceae,~Pteridophyta,Cyatheaceae,Metaxya,,rostrata,(Kunth) C.Presl,,,,,,,,,,,F,H,,,,
Polypodiaceae,~Pteridophyta,Polypodiaceae,Microgramma,,lycopodioides,(L.) Copel.,,,,syn.,,,Polypodium lycopodioides L.,,"Moran, R. 1995 (Fl Meso 1)",,F,E,,,,
Polypodiaceae,~Pteridophyta,Polypodiaceae,Microgramma,,percussa,(Cav.) de la Sota,,,,syn.,,,Polypodium percussum Cav.,,"Moran, R. 1995 (Fl Meso 1)",,F,E,,,,
Polypodiaceae,~Pteridophyta,Polypodiaceae,Microgramma,,reptans,(Cav.) A.R. Sm.,,,,syn.,,,Polypodium ciliatum Willd.,,"Moran, R. 1995 (Fl Meso 1)",,F,E,,,,
Lomariopsidaceae,~Pteridophyta,Polypodiaceae,Nephrolepis,,biserrata,(Sw.) Schott,,,,,,,,,,,F,E,,,,
Lomariopsidaceae,~Pteridophyta,Polypodiaceae,Nephrolepis,,pendula,(Raddi) J.Sm.,,,,,,,,,,,F,E,,,,
Polypodiaceae,~Pteridophyta,Polypodiaceae,Niphidium,,oblanceolatum,A.Rojas,,,,det.,,,"Polypodium crassifolium L., sensu Croat (1978); Niphidium crassifolium (L.)  Lellinger sensu Correa et al. (2004), in part","Busey 314 (F,NY), Correa 3096 (PMA), Croat 4551 (MO): cited by A.Rojas (1996)","Rojas, A. 1996 (Brenesia 45-46: 27-32)",Rojas (1996) restricts N. crassifolium to higher elevations.,F,E,,,,
Ophioglossaceae,~Pteridophyta,Ophioglossaceae,Ophioglossum,,reticulatum,L.,,,,,,,,,,,,Hw,D,,,
Polypodiaceae,~Pteridophyta,Polypodiaceae,Pecluma,,hygrometrica,(Splitg.) M.G. Price,,,,syn.,,,Polypodium hygrometricum Splitg.,,"Moran, R. 1995 (Fl Meso 1)",,F,E,,,,
Polypodiaceae,~Pteridophyta,Polypodiaceae,Pecluma,,pectinata,(L.) M.G. Price,,,,syn.,,,Polypodium pectinatum L.,,"Moran, R. 1995 (Fl Meso 1)",,F,E,,,,
Pteridaceae,~Pteridophyta,Polypodiaceae,Pityrogramma,,calomelanos,(L.) Link,var.,calomelanos,,(+var.),,,,,Varietal determination based on Croat's description.,,,Hw,,,,
Polypodiaceae,~Pteridophyta,Polypodiaceae,Pleopeltis,,polypodioides,(L.) E.G.Andrews & Windham,,,,syn.,n,,Polypodium polypodioides (L.) Watt (Croat 1978; Correa et al. 2004),,"Windham, M. 1993 (Contr.Univ.Mich.Herb. 19:46); A.R.Smith pers. comm. (2006)",,F,E,,,,
