Species	Sp (Croat 1978)	Family	Fam (Croat 1978)	Life form	Lf (Croat 1978)	Source for additions
Trigonidium egertonianum		Orchidaceae		e	E	
Warczewiczella lipscombiae	Cochleanthes lipscombiae	Orchidaceae		e	E	
Xylobium foveatum		Orchidaceae		e	E	
Peperomia ciliolibractea		Piperaceae		e	E	
Peperomia cordulata		Piperaceae		e	E	
Peperomia ebingeri		Piperaceae		e	E	
Peperomia elata	**	Piperaceae		e		[Schmalzel 1406]
Peperomia glabella		Piperaceae		e	E	
Peperomia killipi		Piperaceae		e	E	
Peperomia macrostachya		Piperaceae		e	E	
Peperomia mameiana		Piperaceae		e	E	
Peperomia obscurifolia		Piperaceae		e	E	
Peperomia obtusifolia		Piperaceae		e	E	
Peperomia pellucida	**	Piperaceae		e		[Schmalzel 1406]
Peperomia portobellensis	**	Piperaceae		e		[Croat 8055]
Peperomia rotundifolia		Piperaceae		e	E	
Peperomia tenuifolia	**	Piperaceae		e		[Croat 12857]
Campyloneurum angustifolium	**	Polypodiaceae		e		[Croat 6281]
Campyloneurum aphanophlebium	Polypodium occultum	Polypodiaceae		e	E	
Campyloneurum brevifolium	**	Polypodiaceae		e		[Croat 8043]
Campyloneurum costatum 	Polypodium costatum	Polypodiaceae		e	E	
Campyloneurum phyllitidis	Polypodium phyllitidis	Polypodiaceae		e	E	
Microgramma percussa 	Polypodium percussum	Polypodiaceae		e	E	
Microgramma persicariifolia 	Polypodium lycopodioides	Polypodiaceae		e	E	
Microgramma reptans	Polypodium ciliatum	Polypodiaceae		e	E	
Niphidium crassifolium	Polypodium crassifolium	Polypodiaceae		e	E	
Niphidium oblanceolatum	**	Polypodiaceae		e		[Croat 7264]
Pecluma hygrometrica	Polypodium hygrometricum	Polypodiaceae		e	E	
Pecluma plumula 	Polypodium pectinatum	Polypodiaceae		e	E	
Pleopeltis christensenii	Dicranoglossum panamense	Polypodiaceae		e	E	
Pleopeltis panamensis	**	Polypodiaceae		e		[Ebinger 231]
Pleopeltis polypodioides	Polypodium polypodioides	Polypodiaceae		e	E	
Serpocaulon maritimum	Polypodium maritimum	Polypodiaceae		e	E	
Serpocaulon triseriale	Polypodium triseriale	Polypodiaceae		e	E	
Serpocaulon wagneri	Polypodium costaricense	Polypodiaceae		e	E	
Ananthacorus angustifolius		Pteridaceae	Polypodiaceae	e	E	
Polytaenium citrifolium	Anetium citrifolium	Pteridaceae	Polypodiaceae	e	E	
Vittaria graminifolia		Pteridaceae	Polypodiaceae	e	E	
Vittaria lineata		Pteridaceae	Polypodiaceae	e	E	
Not categorized as epiphytes any more:						
						
Anthurium clavigerum		Araceae		he	E	
Anthurium pentaphyllum var. bombacifolium	Anthurium bombacifolium	Araceae		v/nv/he?	E	
Monstera adansonii var. laniata	Monstera adansonii	Araceae		v/nv	E	
Monstera dubia		Araceae		v/nv	E	
Monstera pinnatipartita	Monstera dilacerata	Araceae		v/nv	E	
Philodendron alliodorum	**	Araceae		v/nv		[Weichgrebe s.n.]
Philodendron fragrantissimum		Araceae		v/nv/he?	E	
Philodendron hederaceum var. hederaceum	Philodendron scandens	Araceae		v/nv	E	
Philodendron immixtum	Philodendron inconcinnum	Araceae		v/nv	E	
Philodendron inaequilaterum		Araceae		v/nv	E	
Philodendron jacquinii	Philodendron hederaceum	Araceae		v/nv	E	
Philodendron opacum	Philodendron nervosum	Araceae		v/nv	E	
Philodendron panamense		Araceae		v/nv	E	
Philodendron pterotum		Araceae		v/nv	E	
Philodendron radiatum		Araceae		he	E	
Philodendron rayanum	**	Araceae		v/nv		[Weichgrebe s.n.]
Philodendron rigidifolium	Philodendron guttiferum	Araceae		v/nv	E	
Philodendron sagittifolium		Araceae		v/nv	E	
Philodendron tripartitum		Araceae		he	E	
Rhodospatha wendlandii		Araceae		v/nv	E	
Syngonium erythrophyllum		Araceae		v/nv	E	
Syngonium podophyllum		Araceae		v/nv	E	
