Arecaceae	*	<i>Socratea&nbsp;exorrhiza</i>	<i>Socratea&nbsp;durissima</i>	<i>Socratea&nbsp;durissima</i>	<i>Socratea&nbsp;exorrhiza</i>	<i>Socratea&nbsp;exorrhiza</i>	
Asteraceae		<i>Koanophyllon&nbsp;wetmorei</i>	<i>Koanophyllon&nbsp;wetmorei</i>	<i>Koanophyllon&nbsp;wetmorei</i>	<i>Koanophyllon&nbsp;wetmorei</i>	Does&nbsp;not&nbsp;appear	
Asteraceae		<i>Verbesina&nbsp;gigantea</i>	<i>Verbesina&nbsp;gigantea</i>	Does&nbsp;not&nbsp;appear	Does&nbsp;not&nbsp;appear	Does&nbsp;not&nbsp;appear	
Bignoniaceae	*	<i>Handroanthus&nbsp;guayacan</i>	<i>Tabebuia&nbsp;guayacan</i>	<i>Tabebuia&nbsp;guayacan</i>	<i>Tabebuia&nbsp;guayacan</i>	Does&nbsp;not&nbsp;appear	
Bignoniaceae		<i>Jacaranda&nbsp;copaia</i>	<i>Jacaranda&nbsp;copaia</i>	<i>Jacaranda&nbsp;copaia</i>	<i>Jacaranda&nbsp;copaia</i>	<i>Jacaranda&nbsp;copaia</i>	
Bignoniaceae		<i>Tabebuia&nbsp;rosea</i>	<i>Tabebuia&nbsp;rosea</i>	<i>Tabebuia&nbsp;rosea</i>	<i>Tabebuia&nbsp;rosea</i>	<i>Tabebuia&nbsp;rosea</i>	
Bombacaceae	*	<i>Pochota&nbsp;quinata</i>	<i>Bombacopsis&nbsp;quinata</i>	<i>Bombacopsis&nbsp;quinata</i>	<i>Pochota&nbsp;quinata</i>	<i>Pachira&nbsp;quinata</i>	
Burseraceae	*	<i>Protium&nbsp;confusum</i>	Does&nbsp;not&nbsp;appear	<i>Protium&nbsp;skinny</i>	<i>Protium&nbsp;sp.&nbsp;nov.</i>	Does&nbsp;not&nbsp;appear	
Burseraceae		<i>Protium&nbsp;costaricense</i>	<i>Protium&nbsp;costaricense</i>	<i>Protium&nbsp;costaricense</i>	<i>Protium&nbsp;costaricense</i>	Does&nbsp;not&nbsp;appear	
Burseraceae		<i>Protium&nbsp;panamense</i>	<i>Protium&nbsp;panamense</i>	<i>Protium&nbsp;panamense</i>	<i>Protium&nbsp;panamense</i>	<i>Protium&nbsp;panamense</i>	
Burseraceae	*	<i>Protium&nbsp;tenuifolium&nbsp;subsp.&nbsp;sessiliflorum</i>	<i>Protium&nbsp;tenuifolium</i>	<i>Protium&nbsp;tenuifolium</i>	<i>Protium&nbsp;tenuifolium</i>	<i>Protium&nbsp;tenuifolium</i>	
Burseraceae		<i>Tetragastris&nbsp;panamensis</i>	<i>Tetragastris&nbsp;panamensis</i>	<i>Tetragastris&nbsp;panamensis</i>	<i>Tetragastris&nbsp;panamensis</i>	<i>Tetragastris&nbsp;panamensis</i>	
Burseraceae		<i>Trattinnickia&nbsp;aspera</i>	<i>Trattinnickia&nbsp;aspera</i>	<i>Trattinnickia&nbsp;aspera</i>	<i>Trattinnickia&nbsp;aspera</i>	<i>Trattinnickia&nbsp;aspera</i>	
Cannabaceae		<i>Celtis&nbsp;schippii</i>	<i>Celtis&nbsp;schippii</i>	<i>Celtis&nbsp;schippii</i>	<i>Celtis&nbsp;schippii</i>	Does&nbsp;not&nbsp;appear	
Cannabaceae	*	<i>Trema&nbsp;integerrima</i>	Does&nbsp;not&nbsp;appear	Does&nbsp;not&nbsp;appear	Does&nbsp;not&nbsp;appear	Does&nbsp;not&nbsp;appear	
Cannabaceae		<i>Trema&nbsp;micrantha</i>	<i>Trema&nbsp;micrantha</i>	<i>Trema&nbsp;micrantha</i>	<i>Trema&nbsp;micrantha</i>	Does&nbsp;not&nbsp;appear	
Cannabaceae	*	<i>Trema&nbsp;unidentified</i>	Does&nbsp;not&nbsp;appear	Does&nbsp;not&nbsp;appear	Does&nbsp;not&nbsp;appear	Does&nbsp;not&nbsp;appear	
Capparaceae	*	<i>Capparidastrum&nbsp;frondosum</i>	<i>Capparis&nbsp;frondosa</i>	<i>Capparis&nbsp;frondosa</i>	<i>Capparis&nbsp;frondosa</i>	<i>Capparis&nbsp;frondosa</i>	
Caricaceae		<i>Jacaratia&nbsp;spinosa</i>	<i>Jacaratia&nbsp;spinosa</i>	Does&nbsp;not&nbsp;appear	Does&nbsp;not&nbsp;appear	<i>Jacaratia&nbsp;spinosa</i>	
Caricaceae	*	<i>Vasconcellea&nbsp;cauliflora</i>	<i>Carica&nbsp;cauliflora</i>	Does&nbsp;not&nbsp;appear	Does&nbsp;not&nbsp;appear	Does&nbsp;not&nbsp;appear	
Celastraceae		<i>Maytenus&nbsp;schippii</i>	<i>Maytenus&nbsp;schippii</i>	<i>Maytenus&nbsp;schippii</i>	<i>Maytenus&nbsp;schippii</i>	<i>Maytenus&nbsp;schippii</i>	
Chrysobalanaceae		<i>Hirtella&nbsp;americana</i>	<i>Hirtella&nbsp;americana</i>	<i>Hirtella&nbsp;americana</i>	<i>Hirtella&nbsp;americana</i>	<i>Hirtella&nbsp;americana</i>	
Chrysobalanaceae		<i>Hirtella&nbsp;triandra</i>	<i>Hirtella&nbsp;triandra</i>	<i>Hirtella&nbsp;triandra</i>	<i>Hirtella&nbsp;triandra</i>	<i>Hirtella&nbsp;triandra</i>	
Chrysobalanaceae		<i>Licania&nbsp;hypoleuca</i>	<i>Licania&nbsp;hypoleuca</i>	<i>Licania&nbsp;hypoleuca</i>	<i>Licania&nbsp;hypoleuca</i>	<i>Licania&nbsp;hypoleuca</i>	
Chrysobalanaceae		<i>Licania&nbsp;platypus</i>	<i>Licania&nbsp;platypus</i>	<i>Licania&nbsp;platypus</i>	<i>Licania&nbsp;platypus</i>	Does&nbsp;not&nbsp;appear	
Clusiaceae		<i>Calophyllum&nbsp;longifolium</i>	<i>Calophyllum&nbsp;longifolium</i>	<i>Calophyllum&nbsp;longifolium</i>	<i>Calophyllum&nbsp;longifolium</i>	<i>Calophyllum&nbsp;longifolium</i>	
Clusiaceae	*	<i>Chrysochlamys&nbsp;eclipes</i>	<i>Tovomitopsis&nbsp;nicaraguensis</i>	<i>Tovomitopsis&nbsp;nicaraguensis</i>	<i>Chrysochlamys&nbsp;eclipes</i>	Does&nbsp;not&nbsp;appear	
Clusiaceae	*	<i>Garcinia&nbsp;madruno</i>	<i>Rheedia&nbsp;acuminata</i>	<i>Rheedia&nbsp;acuminata</i>	<i>Garcinia&nbsp;madruno</i>	<i>Garcinia&nbsp;madruno</i>	
Clusiaceae	*	<i>Garcinia&nbsp;recondita</i>	<i>Rheedia&nbsp;edulis</i>	<i>Rheedia&nbsp;edulis</i>	<i>Garcinia&nbsp;intermedia</i>	Does&nbsp;not&nbsp;appear	
Clusiaceae		<i>Marila&nbsp;laxiflora</i>	<i>Marila&nbsp;laxiflora</i>	<i>Marila&nbsp;laxiflora</i>	<i>Marila&nbsp;laxiflora</i>	<i>Marila&nbsp;laxiflora</i>	
Clusiaceae		<i>Symphonia&nbsp;globulifera</i>	<i>Symphonia&nbsp;globulifera</i>	<i>Symphonia&nbsp;globulifera</i>	<i>Symphonia&nbsp;globulifera</i>	<i>Symphonia&nbsp;globulifera</i>	
Clusiaceae		<i>Vismia&nbsp;baccifera</i>	<i>Vismia&nbsp;baccifera</i>	<i>Vismia&nbsp;baccifera</i>	<i>Vismia&nbsp;baccifera</i>	<i>Vismia&nbsp;baccifera</i>	
Clusiaceae		<i>Vismia&nbsp;billbergiana</i>	<i>Vismia&nbsp;billbergiana</i>	<i>Vismia&nbsp;billbergiana</i>	<i>Vismia&nbsp;billbergiana</i>	Does&nbsp;not&nbsp;appear	
Clusiaceae		<i>Vismia&nbsp;macrophylla</i>	<i>Vismia&nbsp;macrophylla</i>	<i>Vismia&nbsp;macrophylla</i>	<i>Vismia&nbsp;macrophylla</i>	<i>Vismia&nbsp;macrophylla</i>	
Combretaceae	*	<i>Terminalia&nbsp;amazonia</i>	<i>Terminalia&nbsp;amazonica</i>	<i>Terminalia&nbsp;amazonica</i>	<i>Terminalia&nbsp;amazonica</i>	<i>Terminalia&nbsp;amazonia</i>	
Combretaceae	*	<i>Terminalia&nbsp;oblonga</i>	<i>Terminalia&nbsp;chiriquensis</i>	<i>Terminalia&nbsp;oblonga</i>	<i>Terminalia&nbsp;oblonga</i>	<i>Terminalia&nbsp;oblonga</i>	
Cordiaceae		<i>Cordia&nbsp;alliodora</i>	<i>Cordia&nbsp;alliodora</i>	<i>Cordia&nbsp;alliodora</i>	<i>Cordia&nbsp;alliodora</i>	<i>Cordia&nbsp;alliodora</i>	
Cordiaceae		<i>Cordia&nbsp;bicolor</i>	<i>Cordia&nbsp;bicolor</i>	<i>Cordia&nbsp;bicolor</i>	<i>Cordia&nbsp;bicolor</i>	<i>Cordia&nbsp;bicolor</i>	
