"sp6","sp6curr","sp6prior","sp4","Current_order","Current_family","Current_name","Current_name_author","synonyms","vouchers","habit","Accepted_name","Accepted_name_author","Accepted_name_rank","Accepted_family","currnamechanged","sp6changed","acceptednamedif","notes","gbif_accepted_scientific_name","gbif_accepted_taxon_id","taxon_code"
"cithco","cithco",NA,NA,"Lamiales","Verbenaceae","Citharexylum cooperi","Standl.",NA,NA,"Freestanding","Citharexylum cooperi","Standl.","species","Verbenaceae",FALSE,NA,FALSE,NA,"Citharexylum cooperi",4085018,"Citharexylum cooperi-CITHCO"
"cithdo","cithdo",NA,NA,"Lamiales","Verbenaceae","Citharexylum donnell-smithii","Greenm.",NA,NA,"Freestanding","Citharexylum donnell-smithii","Greenm.","species","Verbenaceae",FALSE,NA,FALSE,NA,"Citharexylum donnell-smithii",7297252,"Citharexylum donnell-smithii-CITHDO"
"cithgu","cithgu",NA,NA,"Lamiales","Verbenaceae","Citharexylum guatemalense","(Moldenke) D.N. Gibson",NA,NA,"Freestanding","Citharexylum guatemalense","(Moldenke) D.N.Gibson","species","Verbenaceae",FALSE,NA,FALSE,NA,"Citharexylum guatemalense",4084407,"Citharexylum guatemalense-CITHGU"
"cithma","cithma",NA,NA,"Lamiales","Verbenaceae","Citharexylum macradenium","Greenm.",NA,NA,"Freestanding","Citharexylum macradenium","Greenm.","species","Verbenaceae",FALSE,NA,FALSE,NA,"Citharexylum macradenium",4083877,"Citharexylum macradenium-CITHMA"
"cithm1","cithm1",NA,NA,"Lamiales","Verbenaceae","Citharexylum macrochlamys","Pittier",NA,NA,"Freestanding","Citharexylum macrochlamys","Pittier","species","Verbenaceae",FALSE,NA,FALSE,NA,"Citharexylum macrochlamys",4083818,"Citharexylum macrochlamys-CITHM1"
"cithmo","cithmo",NA,NA,"Lamiales","Verbenaceae","Citharexylum mocinnoi","D. Don",NA,NA,"Freestanding","Citharexylum mocinnoi",NA,"species",NA,FALSE,NA,FALSE,NA,"Citharexylum mocinoi",7891438,"Citharexylum mocinnoi-CITHMO"
"cithsp","cithsp",NA,NA,"Lamiales","Verbenaceae","Citharexylum spinosum","L.",NA,NA,"Freestanding","Citharexylum spinosum","L.","species","Verbenaceae",FALSE,NA,FALSE,NA,"Citharexylum spinosum",2925396,"Citharexylum spinosum-CITHSP"
"cit1co","cit1co",NA,NA,"Aquifoliales","Cardiopteridaceae","Citronella costaricensis","(Donn. Sm.) R.A. Howard",NA,NA,"Freestanding","Citronella costaricensis","(Donn.Sm.) R.A.Howard","species","Cardiopteridaceae",FALSE,NA,FALSE,NA,"Citronella costaricensis",3597168,"Citronella costaricensis-CIT1CO"
"cit2la","cit2la",NA,NA,"Cucurbitales","Cucurbitaceae","Citrullus lanatus","(Thunb.) Matsum. & Nakai",NA,NA,"Climbing","Citrullus lanatus","(Thunb.) Matsum. & Nakai","species","Cucurbitaceae",FALSE,NA,FALSE,NA,"Citrullus lanatus",2874621,"Citrullus lanatus-CIT2LA"
"citrau","citrau",NA,NA,"Sapindales","Rutaceae","Citrus aurantium","L.",NA,NA,"Freestanding","Citrus x aurantium","L.","species","Rutaceae",FALSE,NA,TRUE,"Current_name differs from Accepted_name returned by TNRS.","Citrus aurantium",8077391,"Citrus aurantium-CITRAU"
"citrma","citrma",NA,NA,"Sapindales","Rutaceae","Citrus maxima","(Burm.) Merr.",NA,NA,"Freestanding","Citrus maxima","(Burm.) Merr.","species","Rutaceae",FALSE,NA,FALSE,NA,"Citrus maxima",3190160,"Citrus maxima-CITRMA"
"citrli","citrli",NA,NA,"Sapindales","Rutaceae","Citrus medica","L.",NA,NA,"Freestanding","Citrus medica","L.","species","Rutaceae",FALSE,NA,FALSE,NA,"Citrus medica",3190157,"Citrus medica-CITRLI"
"clapfi","clapfi",NA,NA,"Malvales","Malvaceae","Clappertonia ficifolia","(Willd.) Decne.",NA,NA,"Freestanding","Clappertonia ficifolia","(Willd.) Decne.","species","Malvaceae",FALSE,NA,FALSE,NA,"Clappertonia ficifolia",3152040,"Clappertonia ficifolia-CLAPFI"
"clarbi","clarbi","clarbi",NA,"Rosales","Moraceae","Clarisia biflora","Ruiz & Pav.","Clarisia panamensis","R. Pérez 877","Freestanding","Clarisia biflora","Ruiz & Pav.","species","Moraceae",FALSE,FALSE,FALSE,NA,"Clarisia biflora",7262852,"Clarisia biflora-CLARBI"
"clarra","clarra","clarra",NA,"Rosales","Moraceae","Clarisia racemosa","Ruiz & Pav.",NA,"R. Pérez 543","Freestanding","Clarisia racemosa","Ruiz & Pav.","species","Moraceae",FALSE,FALSE,FALSE,NA,"Clarisia racemosa",5572170,"Clarisia racemosa-CLARRA"
"clavbi","clavbi","clavbi",NA,"Ericales","Primulaceae","Clavija biborrana","Oerst.",NA,NA,"Freestanding","Clavija biborrana","Oerst.","species","Primulaceae",FALSE,FALSE,FALSE,NA,"Clavija biborrana",3585452,"Clavija biborrana-CLAVBI"
"clavco","clavco","clavco",NA,"Ericales","Primulaceae","Clavija costaricana","Pittier",NA,NA,"Freestanding","Clavija costaricana","Pittier","species","Primulaceae",FALSE,FALSE,FALSE,NA,"Clavija costaricana",3585540,"Clavija costaricana-CLAVCO"
"clavfu","clavfu",NA,NA,"Ericales","Primulaceae","Clavija fusca","B.Ståhl",NA,NA,"Freestanding","Clavija fusca","B.Ståhl","species","Primulaceae",FALSE,NA,FALSE,NA,"Clavija fusca",3585524,"Clavija fusca-CLAVFU"
"clavme","clavme","clavme",NA,"Ericales","Primulaceae","Clavija mezii","Pittier",NA,NA,"Freestanding","Clavija mezii","Pittier","species","Primulaceae",FALSE,FALSE,FALSE,NA,"Clavija mezii",7313202,"Clavija mezii-CLAVME"
"clavpu","clavpu",NA,NA,"Ericales","Primulaceae","Clavija pubens","D'Arcy",NA,NA,"Freestanding","Clavija pubens","D'Arcy","species","Primulaceae",FALSE,NA,FALSE,NA,"Clavija pubens",3585554,"Clavija pubens-CLAVPU"
"cleime","cleime",NA,NA,"Malpighiales","Euphorbiaceae","Cleidion castaneifolium","Müll. Arg.","Cleidion membranaceum",NA,"Freestanding","Cleidion castaneifolium","Müll.Arg.","species","Euphorbiaceae",FALSE,NA,FALSE,NA,"Cleidion castaneifolium",3073732,"Cleidion castaneifolium-CLEIME"
"clemac","clemac",NA,NA,"Ranunculales","Ranunculaceae","Clematis acapulcensis","Hook. & Arn.",NA,NA,"Climbing","Clematis acapulcensis","Hook. & Arn.","species","Ranunculaceae",FALSE,NA,FALSE,NA,"Clematis acapulcensis",7277591,"Clematis acapulcensis-CLEMAC"
"clemgr","clemgr",NA,NA,"Ranunculales","Ranunculaceae","Clematis grossa","Benth.",NA,NA,"Climbing","Clematis grossa","Benth.","species","Ranunculaceae",FALSE,NA,FALSE,NA,"Clematis grossa",7276611,"Clematis grossa-CLEMGR"
"clemgu","clemgu",NA,NA,"Ranunculales","Ranunculaceae","Clematis guadeloupae","Pers.",NA,NA,"Climbing","Clematis guadeloupae","Pers.","species","Ranunculaceae",FALSE,NA,FALSE,NA,"Clematis guadeloupae",3920967,"Clematis guadeloupae-CLEMGU"
"clemha","clemha",NA,NA,"Ranunculales","Ranunculaceae","Clematis haenkeana","C. Presl",NA,NA,"Climbing","Clematis haenkeana","C.Presl","species","Ranunculaceae",FALSE,NA,FALSE,NA,"Clematis haenkeana",3920944,"Clematis haenkeana-CLEMHA"
"clempo","clempo",NA,NA,"Ranunculales","Ranunculaceae","Clematis polygama","Jacq.",NA,NA,"Climbing","Clematis polygama","Jacq.","species","Ranunculaceae",FALSE,NA,FALSE,NA,"Clematis polygama",6070986,"Clematis polygama-CLEMPO"
"podade","podade",NA,NA,"Brassicales","Cleomaceae","Cleome decipiens","Triana & Planch.","Podandrogyne decipiens",NA,"Freestanding","Cleome decipiens","Triana & Planch.","species","Cleomaceae",FALSE,NA,FALSE,NA,"Podandrogyne decipiens",3872130,"Cleome decipiens-PODADE"
"padofo","padofo",NA,NA,"Brassicales","Cleomaceae","Cleome formosa","(Cochrane) N. Zamora","Podandrogyne formosa",NA,"Freestanding","Cleome formosa","(Cochrane) N.Zamora","species","Cleomaceae",FALSE,NA,FALSE,NA,"Podandrogyne formosa",3872112,"Cleome formosa-PADOFO"
"cletco","cletco",NA,NA,"Ericales","Clethraceae","Clethra consimilis","Sleumer",NA,NA,"Freestanding","Clethra consimilis","Sleumer","species","Clethraceae",FALSE,NA,FALSE,NA,"Clethra consimilis",3718252,"Clethra consimilis-CLETCO"
NA,NA,NA,NA,"Ericales","Clethraceae","Clethra gelida","Standl.",NA,NA,"Freestanding","Clethra gelida","Standl.","species","Clethraceae",FALSE,NA,FALSE,NA,"Clethra gelida",3718112,"Clethra gelida"
"cletla","cletla","cletla",NA,"Ericales","Clethraceae","Clethra mexicana","DC.","Clethra lanata",NA,"Freestanding","Clethra mexicana","DC.","species","Clethraceae",FALSE,FALSE,FALSE,NA,"Clethra mexicana",3718266,"Clethra mexicana-CLETLA"
"cletpy","cletpy",NA,NA,"Ericales","Clethraceae","Clethra pyrogena","Sleumer",NA,"N. Daguerre 249 (PMA, SCZ)","Freestanding","Clethra pyrogena","Sleumer","species","Clethraceae",FALSE,NA,FALSE,NA,"Clethra pyrogena",3718243,"Clethra pyrogena-CLETPY"
"clettu","clettu",NA,NA,"Ericales","Clethraceae","Clethra tutensis","C.W. Ham.",NA,NA,"Freestanding","Clethra tutensis","C.W.Ham.","species","Clethraceae",FALSE,NA,FALSE,NA,"Clethra tutensis",3718070,"Clethra tutensis-CLETTU"
NA,NA,NA,NA,"Ericales","Clethraceae","Clethra vicentina","Standl.",NA,NA,"Freestanding","Clethra vicentina","Standl.","species","Clethraceae",FALSE,NA,FALSE,NA,"Clethra vicentina",3718247,"Clethra vicentina"
"cleyth","cleyth",NA,NA,"Ericales","Pentaphylacaceae","Cleyera theoides","(Sw.) Choisy",NA,NA,"Freestanding","Cleyera theoides","(Sw.) Choisy","species","Pentaphylacaceae",FALSE,NA,FALSE,NA,"Cleyera theaeoides",9133796,"Cleyera theoides-CLEYTH"
NA,"clitfa",NA,NA,"Fabales","Fabaceae","Clitoria fairchildiana","R.A. Howard",NA,NA,"Freestanding","Clitoria fairchildiana","R.A.Howard","species","Fabaceae",FALSE,NA,FALSE,NA,"Clitoria fairchildiana",2946600,"Clitoria fairchildiana"
NA,"clitfa",NA,NA,"Fabales","Fabaceae","Clitoria falcata","Lam.",NA,NA,"Climbing","Clitoria falcata","Lam.","species","Fabaceae",FALSE,NA,FALSE,NA,"Clitoria falcata",2946543,"Clitoria falcata"
"clitgl","clitgl","clitgl",NA,"Fabales","Fabaceae","Clitoria glaberrima","Pittier",NA,NA,"Freestanding","Clitoria glaberrima","Pittier","species","Fabaceae",FALSE,FALSE,FALSE,NA,"Clitoria glaberrima",2946578,"Clitoria glaberrima-CLITGL"
"clitja","clitja",NA,"CLIJ","Fabales","Fabaceae","Clitoria javitensis","(Kunth) Benth.",NA,"R. Pérez 2165 y 2179 (PMA, SCZ)","Climbing","Clitoria javitensis","(Kunth) Benth.","species","Fabaceae",FALSE,NA,FALSE,NA,"Clitoria javitensis",2946500,"Clitoria javitensis-CLITJA-CLIJ"
"clitte","clitte",NA,NA,"Fabales","Fabaceae","Clitoria ternatea","L.",NA,NA,"Climbing","Clitoria ternatea","L.","species","Fabaceae",FALSE,NA,FALSE,NA,"Clitoria ternatea",2946519,"Clitoria ternatea-CLITTE"
NA,NA,NA,NA,"Malpighiales","Clusiaceae","Clusia coclensis","Standl.","Clusia quadrangula",NA,"Freestanding","Clusia coclensis","Standl.","species","Clusiaceae",FALSE,NA,FALSE,NA,"Clusia coclensis",5555589,"Clusia coclensis"
NA,NA,NA,NA,"Malpighiales","Clusiaceae","Clusia cooperi","Standl.",NA,NA,"Freestanding","Clusia cooperi","Standl.","species","Clusiaceae",FALSE,NA,FALSE,NA,"Clusia cooperi",5555567,"Clusia cooperi"
NA,NA,NA,NA,"Malpighiales","Clusiaceae","Clusia croatii","D'Arcy",NA,NA,"Freestanding","Clusia croatii","D'Arcy","species","Clusiaceae",FALSE,NA,FALSE,NA,"Clusia croatii",5555536,"Clusia croatii"
"clusdi","clusdi","clusdi",NA,"Malpighiales","Clusiaceae","Clusia divaricata","Maguire",NA,NA,"Freestanding","Clusia divaricata","Maguire","species","Clusiaceae",FALSE,FALSE,FALSE,NA,"Clusia divaricata",8425559,"Clusia divaricata-CLUSDI"
NA,NA,NA,NA,"Malpighiales","Clusiaceae","Clusia dukei","Maguire",NA,NA,"Freestanding","Clusia dukei","Maguire","species","Clusiaceae",FALSE,NA,FALSE,NA,"Clusia dukei",5556549,"Clusia dukei"
"clusfl","clusfl",NA,"HAVF","Malpighiales","Clusiaceae","Clusia flavida","(Benth.) Pipoly","Havetiopsis flexilis",NA,"Freestanding","Clusia flavida","(Benth.) Pipoly","species","Clusiaceae",FALSE,NA,FALSE,NA,"Clusia flavida",5556500,"Clusia flavida-CLUSFL-HAVF"
NA,NA,NA,NA,"Malpighiales","Clusiaceae","Clusia gracilis","Standl.",NA,NA,"Freestanding","Clusia gracilis","Standl.","species","Clusiaceae",FALSE,NA,FALSE,NA,"Clusia gracilis",5556453,"Clusia gracilis"
"clusla","clusla",NA,NA,"Malpighiales","Clusiaceae","Clusia latipes","Planch. & Triana",NA,NA,"Freestanding","Clusia latipes","Planch. & Triana","species","Clusiaceae",FALSE,NA,FALSE,NA,"Clusia latipes",5556358,"Clusia latipes-CLUSLA"
