"taxon_code","gbif_accepted_taxon_id","gbif_accepted_scientific_name","habit"
"Aralia excelsa-SCIAEX",3037048,"Aralia excelsa","Freestanding"
"Araliaceae",8800,"Araliaceae",""
"Araucaria",2684910,"Araucaria",""
"Araucaria columnaris-ARAUCO",2684921,"Araucaria columnaris","Freestanding"
"Araucariaceae",3924,"Araucariaceae",""
"Arawakia",10036167,"Arawakia",""
"Ardisia",3169458,"Ardisia",""
"Ardisia alajuelae",5558134,"Ardisia alajuelae","Freestanding"
"Ardisia albisepala-ARDIAL",5558097,"Ardisia albisepala","Freestanding"
"Ardisia atropurpurea-ARDIAT",5557893,"Ardisia atropurpurea","Freestanding"
"Ardisia auriculata-ARDIAU",5557873,"Ardisia auriculata","Freestanding"
"Ardisia austin-smithii-GENTAU",3718677,"Gentlea austin-smithii","Freestanding"
"Ardisia bartletii-ARDIBA-ARDB",7330940,"Ardisia bartletii","Freestanding"
"Ardisia blepharodes",5557693,"Ardisia blepharodes","Freestanding"
"Ardisia brenesii-ARDIBR",5557608,"Ardisia brenesii","Freestanding"
"Ardisia brevis-ARDIB1",5557579,"Ardisia brevis","Freestanding"
"Ardisia colombiana-ARDICO",5557236,"Ardisia colombiana","Freestanding"
"Ardisia coloradoana-ARDIC1",5557225,"Ardisia coloradoana","Freestanding"
"Ardisia compressa",5557210,"Ardisia compressa","Freestanding"
"Ardisia conglomerata-ARDIC2",5558909,"Ardisia conglomerata","Freestanding"
"Ardisia copeyana-ARDIFE-ARDF",5558881,"Ardisia copeyana","Freestanding"
"Ardisia costaricensis-ARDIC3",5558849,"Ardisia costaricensis","Freestanding"
"Ardisia crassipedicellata-ARDICR",5558837,"Ardisia crassipedicellata","Freestanding"
"Ardisia crassipes-ARDIC4",7618346,"Ardisia crassipes","Freestanding"
"Ardisia croatii-ARDIC5",7331159,"Ardisia croatii","Freestanding"
"Ardisia darienensis-ARDIDA",5558751,"Ardisia darienensis","Freestanding"
"Ardisia dukei-ARDIDU",5558636,"Ardisia dukei","Freestanding"
"Ardisia dwyeri-ARDIDW",5558512,"Ardisia dwyeri","Freestanding"
"Ardisia eucuneata-ARDIEU",7356503,"Ardisia eucuneata","Freestanding"
"Ardisia fimbrillifera-ARDIFI",5558534,"Ardisia fimbrillifera","Freestanding"
"Ardisia foetida-ARDIFO",5558514,"Ardisia foetida","Freestanding"
"Ardisia folsomii-ARDIF1",5558509,"Ardisia folsomii","Freestanding"
"Ardisia fruticosa-ARDIFR",5558487,"Ardisia fruticosa","Freestanding"
"Ardisia furfuracella-ARDIFU",7331075,"Ardisia furfuracella","Freestanding"
"Ardisia generalensis",5558442,"Ardisia generalensis","Freestanding"
"Ardisia geniculata-ARDIGE",5558438,"Ardisia geniculata","Freestanding"
"Ardisia gigantea-ARDIGI",5558422,"Ardisia gigantea","Freestanding"
"Ardisia glandulosomarginata-ARDIG1",5558388,"Ardisia glandulosomarginata","Freestanding"
"Ardisia glomerata-ARDIGL",5558367,"Ardisia glomerata","Freestanding"
"Ardisia gordonii",5558352,"Ardisia gordonii","Freestanding"
"Ardisia granatensis-ARDIGR",5558331,"Ardisia granatensis","Freestanding"
"Ardisia guianensis-ARDIGU-ARDG",5558301,"Ardisia guianensis","Freestanding"
"Ardisia hagenii-ARDIHA",5558292,"Ardisia hagenii","Freestanding"
"Ardisia hammelii",5558283,"Ardisia hammelii","Freestanding"
"Ardisia herrerana",5558263,"Ardisia herrerana","Freestanding"
"Ardisia heterotricha-ARDIHE",5558258,"Ardisia heterotricha","Freestanding"
"Ardisia jefeana-ARDIJE-ICAJ",5558055,"Ardisia jefeana","Freestanding"
"Ardisia knappiae-ARDIKN",8156244,"Ardisia knappiae","Freestanding"
"Ardisia lundelliana-ARDILU",5557640,"Ardisia lundelliana","Freestanding"
"Ardisia mameyensis-ARDIMA",5557541,"Ardisia mameyensis","Freestanding"
"Ardisia maxonii-ARDIM1",5557482,"Ardisia maxonii","Freestanding"
"Ardisia megistophylla-ARDIME",5557445,"Ardisia megistophylla","Freestanding"
"Ardisia nervosissima-ARDINE",5558835,"Ardisia nervosissima","Freestanding"
"Ardisia nigropunctata-ARDINI",5558789,"Ardisia nigropunctata","Freestanding"
"Ardisia opaca-ARDIOP",5558709,"Ardisia opaca","Freestanding"
"Ardisia opegrapha-ARDIO1",7331129,"Ardisia opegrapha","Freestanding"
"Ardisia palmana-ARDIPA",5558656,"Ardisia palmana","Freestanding"
"Ardisia panamensis-ARDIP1",5558651,"Ardisia panamensis","Freestanding"
"Ardisia pellucida-ARDIPE-ARDP",7331109,"Ardisia pellucida","Freestanding"
"Ardisia perinsignis",5558586,"Ardisia perinsignis","Freestanding"
"Ardisia pleurobotrya-ARDIPL",7331093,"Ardisia pleurobotrya","Freestanding"
"Ardisia pseudocuspidata",5558421,"Ardisia pseudocuspidata","Freestanding"
"Ardisia pulverulenta-ARDIPU",5558349,"Ardisia pulverulenta","Freestanding"
"Ardisia revoluta-ARDIRE",5558224,"Ardisia revoluta","Freestanding"
"Ardisia rigidifolia-ARDIRI",5558192,"Ardisia rigidifolia","Freestanding"
"Ardisia scheryi-ARDISC",5557990,"Ardisia scheryi","Freestanding"
"Ardisia solanacea-ARDISO",5558193,"Ardisia humilis","Freestanding"
"Ardisia steinii-ARDIST",5557482,"Ardisia maxonii","Freestanding"
"Ardisia storkii-ARDIS1",5557619,"Ardisia storkii","Freestanding"
"Ardisia subcrenulata-ARDISU",5557600,"Ardisia subcrenulata","Freestanding"
"Ardisia subsessilifolia-ARDIS2",5557580,"Ardisia subsessilifolia","Freestanding"
"Ardisia tenuicaulis-ARDITE",5557495,"Ardisia tenuicaulis","Freestanding"
"Ardisia tenuis-ARDIT1",5557479,"Ardisia tenuis","Freestanding"
"Ardisia tysonii-ARDITY",5557302,"Ardisia tysonii","Freestanding"
"Ardisia unguiensis-ARDIUM",5557275,"Ardisia unguiensis","Freestanding"
"Ardisia ursina-ARDIUR",5557255,"Ardisia ursina","Freestanding"
"Ardisia vesca-ARDIVE",5558907,"Ardisia vesca","Freestanding"
"Ardisia wedelii-ARDIWE",5558834,"Ardisia wedelii","Freestanding"
"Arecaceae",7681,"Arecaceae",""
"Argyreia",2928690,"Argyreia",""
"Argyreia nervosa-ARGYNE",2928692,"Argyreia nervosa","Climbing"
"Aristolochia",2873978,"Aristolochia",""
"Aristolochia cordiflora-ARISCO",3589029,"Aristolochia cordiflora","Climbing"
"Aristolochia foetida-ARISAN",3589528,"Aristolochia foetida","Climbing"
"Aristolochia gigantea-ARISGI-ARIG",3589283,"Aristolochia gigantea","Climbing"
"Aristolochia goudotii-ARISCR",3589114,"Aristolochia goudotii","Climbing"
"Aristolochia inflata-ARISIN-ARII",3588528,"Aristolochia inflata","Climbing"
"Aristolochia leuconeura-ARISLE",3589506,"Aristolochia leuconeura","Climbing"
"Aristolochia maxima-ARISMA-ARIM",2873997,"Aristolochia maxima","Climbing"
"Aristolochia odoratissima-ARISOD",2874003,"Aristolochia odoratissima","Climbing"
"Aristolochia panamensis-ARISPA",11018266,"Isotrema panamense","Climbing"
"Aristolochia pfeiferi-ARISPF",3588463,"Aristolochia tonduzii","Climbing"
"Aristolochia pilosa-ARISPI-ARIP",7313612,"Aristolochia pilosa","Climbing"
"Aristolochia ringens-ARISGR",2873998,"Aristolochia ringens","Climbing"
"Aristolochia tonduzii-ARISTO-ARIC",3588463,"Aristolochia tonduzii","Climbing"
"Aristolochia trilobata-ARISTR",8358388,"Aristolochia trilobata","Climbing"
"Aristolochiaceae",3066,"Aristolochiaceae",""
"Artocarpus",2984563,"Artocarpus",""
"Artocarpus altilis-ARTOAL",2984573,"Artocarpus altilis","Freestanding"
"Artocarpus heterophyllus-ARTOHE",2984565,"Artocarpus heterophyllus","Freestanding"
"Aspidosperma",7316607,"Aspidosperma",""
"Aspidosperma darienense-ASPIDA",10398357,"Aspidosperma darienense","Freestanding"
"Aspidosperma desmanthum-ASPICR-ASPC",3618792,"Aspidosperma desmanthum","Freestanding"
"Aspidosperma excelsum-ASPIEX",3618555,"Aspidosperma excelsum","Freestanding"
"Aspidosperma megalocarpon-ASPIME-ASPM",7316950,"Aspidosperma megalocarpon","Freestanding"
"Aspidosperma rigidum",3616924,"Aspidosperma rigidum","Freestanding"
"Asteraceae",3065,"Asteraceae",""
"Asterogyne",2732597,"Asterogyne",""
"Asterogyne martiana-ASTEMA",7406563,"Asterogyne martiana","Freestanding"
"Astrocaryum",2738048,"Astrocaryum",""
"Astrocaryum alatum-AST1AL",2738123,"Astrocaryum alatum","Freestanding"
"Astrocaryum confertum-AST1CO",2738088,"Astrocaryum confertum","Freestanding"
"Astrocaryum standleyanum-AST1ST-ASTS",2738130,"Astrocaryum standleyanum","Freestanding"
"Astronium",7321564,"Astronium",""
"Astronium graveolens-AST2GR-ASTG",7321588,"Astronium graveolens","Freestanding"
"Ateleia",7832695,"Ateleia",""
"Ateleia gummifera-ATELGU",5361698,"Ateleia gummifera","Freestanding"
"Ateleia pterocarpa-ATELPT",5361724,"Ateleia pterocarpa","Freestanding"
"Attalea",2732664,"Attalea",""
"Attalea butyracea-SCH1ZO-ATTB",2732721,"Attalea butyracea","Freestanding"
"Averrhoa",9407103,"Averrhoa",""
"Averrhoa bilimbi-AVERBI",2891640,"Averrhoa bilimbi","Freestanding"
"Averrhoa carambola-AVERCA",2891641,"Averrhoa carambola","Freestanding"
"Avicennia",2925398,"Avicennia",""
"Avicennia bicolor-AVICBI",4196610,"Avicennia bicolor","Freestanding"
"Avicennia germinans-AVICGE",2925400,"Avicennia germinans","Freestanding"
"Axinaea",3231522,"Axinaea",""
"Axinaea costaricensis-AXINCO",5601145,"Axinaea costaricensis","Freestanding"
"Ayenia",3152178,"Ayenia",""
"Ayenia aculeata-BYTTAC-BYTA",3670441,"Byttneria aculeata","Climbing"
