Family	Latin	Author	countries	minLat	maxLat	minLong	maxLong	Npan	N	range	plots	dens	inventories	maxht
Arecaceae	Wettinia radiata	(O.F. Cook & Doyle) R. Bernal	3	0.7906	9.3833333	-78.975	-74.3416667	20	104	169	0	0	0	9
Asparagaceae	Dracaena americana	Donn. Sm.	9	-0.22972	23.950465	-102.532886	-77.88333	5	250	853	0	0	0	20
Asteraceae	Ageratina ixiocladon	(Benth.) R.M. King & H. Rob.	3	4.574	10.125	-84.12138	-74.031	21	94	31	0	0	0	3.6
Asteraceae	Austroeupatorium inulifolium	(Kunth) R.M. King & H. Rob.	10	-30.156306	10.418056	-81.8333334	-36	9	385	13637	0	0	0	3
Asteraceae	Baccharis pedunculata	(Mill.) Cabrera	14	-17.13333	17.25	-93.01	-61.3542	88	403	4776	0	0	0	7
Asteraceae	Baccharis trinervis	Pers.	16	-34.56	23.95056	-105.019444	-35.470555556	113	965	15919	0	0	0	5
Asteraceae	Bartlettina maxonii	(B.L. Rob.) R.M. King & H. Rob.	2	9.025	9.6722222	-84.195833	-82.961114	1	10	0.16	0	0	0	NA
Asteraceae	Bartlettina platyphylla	(B.L. Rob.) R.M. King & H. Rob.	4	8.75	23	-102	-82.63333	14	49	277	0	0	0	5
Asteraceae	Bartlettina prionophylla	(B.L. Rob.) R.M. King & H. Rob.	2	8.5333333	10.0114	-83.9519	-81.8166667	5	18	5.81	0	0	0	3
Asteraceae	Brickellia argyrolepis	B.L. Rob.	6	8.8	17.2091694	-95.88194	-82.6	2	82	345	0	0	0	3
Asteraceae	Calea prunifolia	Kunth	8	0.73	14.2291667	-90.0783334	-53.3	93	226	1786	0	0	0	6
Asteraceae	Calea urticifolia	(Mill.) DC.	8	8.5275	27.1166667	-108.9925	-79.5194445	7	1043	1557	0	0	0	7
Asteraceae	Chromolaena collina	(DC.) R.M. King & H. Rob.	7	7.78333	30.45	-110.8	-80.75	2	480	1620	0	0	0	6
Asteraceae	Clibadium anceps	Greenm.	2	8.54166	10.36	-84.809925	-79.25	29	86	44.98	0	0	0	6
Asteraceae	Clibadium eggersii	Hieron.	9	-9.61666	17.1833334	-90.225	-72.8667	63	310	1334	0	0	0	4
Asteraceae	Clibadium glomeratum	Greenm.	2	8.45	10.321459	-84.809925	-79.55	2	78	30.33	0	0	0	4
Asteraceae	Clibadium grandifolium	S.F. Blake	5	-2.567	11.6	-84.716668	-72.8667	65	144	473	0	0	0	7
