sp4,sp6,family,genus,species,deciduous,oldname,climber,free,liana,vine,shrub,understory,midstory,tree,herb,epiphyte,hemiepiphyte,parasite
NA,RINO3,Violaceae,Rinorea,sp.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,RINO4,Violaceae,Rinorea,sp.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RIN1,RINOSQ,Violaceae,Rinorea,squamata,E,NA,0,1,0,0,1,0,0,0,0,0,0,0
RIN2,RINOSY,Violaceae,Rinorea,sylvatica,E,NA,0,1,0,0,1,0,0,0,0,0,0,0
NA,RONDAM,Rubiaceae,Rogiera,amoena,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
NA,ROLLMU,Annonaceae,Rollinia,mucosa,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
NA,ROLLPI,Annonaceae,Rollinia,pittieri,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
NA,RONDPA,Rubiaceae,Rondeletia,panamensis,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
RANF,RANDFO,Rubiaceae,Rosenbergiodendron,formosum,E,Randia-formosa,0,1,0,0,1,0,0,0,0,0,0,0
ROUM,ROUPMO,Proteaceae,Roupala,montana,E,NA,0,1,0,0,0,0,1,0,0,0,0,0
NA,ROUPPE,Proteaceae,Roupala,percoriacea,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
ROUG,ROURGL,Connaraceae,Rourea,glabra,E,NA,1,0,1,0,0,0,0,0,0,0,0,0
NA,ROYSRE,Arecaceae,Roystonea,regia,E,NA,0,1,0,0,0,0,0,0,0,0,0,0
NA,RUDGCO,Rubiaceae,Rudgea,cornifolia,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
NA,RUDGIS,Rubiaceae,Rudgea,isthmensis,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
NA,RUDGPI,Rubiaceae,Rudgea,pittieri,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
NA,RUDGSK,Rubiaceae,Rudgea,skutchii,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
NA,RUDG1,Rubiaceae,Rudgea,sp.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,RUPRCO,Polygonaceae,Ruprechtia,costata,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
NA,RUPTCA,Lepidobotryaceae,Ruptiliocarpon,caracolito,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
NA,RYANSP,Flacourtiaceae,Ryania,speciosa,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
SABP,SABIPA,Rubiaceae,Sabicea,panamensis,?,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SABV,SABIVI,Rubiaceae,Sabicea,villosa,E,NA,1,0,1,0,0,0,0,0,0,0,0,0
SACS,SACCSP,Poaceae,Saccharum,spontaneum,E,NA,NA,NA,0,0,0,0,0,0,1,0,0,0
NA,SACOOV,Humiriaceae,Sacoglottis,ovicarpa,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
NA,SACOTR,Humiriaceae,Sacoglottis,trichogyna,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
NA,SALAJU,Hippocrateaceae,Salacia,juruana,E,NA,0,1,0,0,0,0,0,0,0,0,0,0
SALM,NA,Celastraceae,Salacia,multiflora,E,NA,1,0,1,0,0,0,0,0,0,0,0,0
NA,SALAPE,Hippocrateaceae,Salacia,petenensis,E,NA,0,1,0,0,0,0,0,0,0,0,0,0
NA,SAMASA,Fabaceae-Mimosoideae,Samanea,saman,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
SAP2,SAP1SA,Sapindaceae,Sapindus,saponaria,E,NA,0,1,0,0,0,0,0,1,0,0,0,0
SAPS,SAPISP,Euphorbiaceae,Sapium,broadleaf,NA,Sapium-broadleaf,0,1,0,0,0,0,0,1,0,0,0,0
SAPG,SAPIAU,Euphorbiaceae,Sapium,glandulosum,DF,Sapium-aucuparium;Sapium-caudatum,0,1,0,0,0,0,1,0,0,0,0,0
NA,SAPILA,Euphorbiaceae,Sapium,laurifolium,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,SAPIPA,Euphorbiaceae,Sapium,pachystachys,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,SAPI2,Euphorbiaceae,Sapium,sp.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,SARCBR,Sapotaceae,Sarcaulus,brasiliensis,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
NA,SAURMO,Actinidiaceae,Saurauia,montana,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,SAURRU,Actinidiaceae,Saurauia,rubiformis,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
