"sp6"	"sp4"	"family"	"genus"	"species"	"subspecies"	"author"
"pla1pi"	"PLAP"	"Fabaceae"	"Platymiscium"	"dimorphandrum"	NA	"Donn. Sm."
"pla2el"	"PLAE"	"Fabaceae"	"Platypodium"	"elegans"	NA	"Vogel"
"pochqu"	"BOMQ"	"Malvaceae"	"Pochota"	"fendleri"	NA	"(Seem.) W.S. Alverson & M.C. Duarte"
"pochse"	"BOMS"	"Malvaceae"	"Pachira"	"sessilis"	NA	"Benth."
"posola"	"POSL"	"Rubiaceae"	"Posoqueria"	"latifolia"	NA	"(Rudge) Schult."
"poular"	"POUA"	"Moraceae"	"Poulsenia"	"armata"	NA	"(Miq.) Standl."
"pourbi"	"POUB"	"Urticaceae"	"Pourouma"	"bicolor"	NA	"Mart."
"poutfo"	"POUF"	"Sapotaceae"	"Pouteria"	"fossicola"	NA	"Cronquist"
"poutre"	"POUU"	"Sapotaceae"	"Pouteria"	"reticulata"	NA	"(Engl.) Eyma"
"poutst"	"POU2"	"Sapotaceae"	"Pouteria"	"stipitata"	NA	"Cronquist"
"pri2co"	"PRIC"	"Fabaceae"	"Prioria"	"copaifera"	NA	"Griseb."
"protco"	"PROC"	"Burseraceae"	"Protium"	"costaricense"	NA	"(Rose) Engl."
"protpa"	"PROP"	"Burseraceae"	"Protium"	"panamense"	NA	"(Rose) I.M. Johnst."
"protsp"	"PRO1"	"Burseraceae"	"Protium"	"confusum"	NA	"(Rose) Pittier"
"protte"	"PROT"	"Burseraceae"	"Protium"	"tenuifolium"	NA	"(Rose) D.M. Porter"
"pse1se"	"PSE1"	"Malvaceae"	"Pseudobombax"	"septenatum"	NA	"(Jacq.) Dugand"
"pse2sp"	"PSE2"	"Moraceae"	"Pseudolmedia"	"spuria"	NA	"Griseb."
"psidfr"	"PSIF"	"Myrtaceae"	"Psidium"	"friedrichsthalianum"	NA	"(O.Berg) Nied."
"pterro"	"PTER"	"Fabaceae"	"Pterocarpus"	"rohrii"	NA	"Vahl"
"quaras"	"QUA1"	"Malvaceae"	"Quararibea"	"stenophylla"	NA	"Pittier"
"quarpt"	"QUAP"	"Malvaceae"	"Quararibea"	"pterocalyx"	NA	"Hemsl."
"randar"	"RANA"	"Rubiaceae"	"Randia"	"armata"	NA	"(Sw.) DC."
"sapiau"	"SAPG"	"Euphorbiaceae"	"Sapium"	"glandulosum"	NA	"(L.) Morong"
"sch1zo"	"ATTB"	"Arecaceae"	"Attalea"	"butyracea"	NA	"(Mutis ex L. f.) Wess. Boer"
"sch2mo"	"SCHM"	"Araliaceae"	"Didymopanax"	"morototoni"	NA	"(Aubl.) Decne. & Planch."
"schipa"	"SCHP"	"Fabaceae"	"Schizolobium"	"parahyba"	NA	"(Vell.) S.F. Blake"
"simaam"	"SIMA"	"Simaroubaceae"	"Simarouba"	"amara"	NA	"Aubl."
