"sp6","sp6curr","sp6prior","sp4","Current_order","Current_family","Current_name","Current_name_author","synonyms","vouchers","habit","Accepted_name","Accepted_name_author","Accepted_name_rank","Accepted_family","currnamechanged","sp6changed","acceptednamedif","notes","gbif_accepted_scientific_name","gbif_accepted_taxon_id","taxon_code"
"ficuc1","ficuc1","ficuc1","FIC1","Rosales","Moraceae","Ficus colubrinae","Standl.",NA,"R. Pérez 2399","Freestanding","Ficus colubrinae","Standl.","species","Moraceae",FALSE,FALSE,FALSE,NA,"Ficus colubrinae",5570299,"Ficus colubrinae-FICUC1-FIC1"
"ficuc2","ficuc2","ficuc2","FIC2","Rosales","Moraceae","Ficus costaricana","Miq.",NA,NA,"Freestanding","Ficus costaricana","(Liebm.) Miq.","species","Moraceae",FALSE,FALSE,FALSE,NA,"Ficus costaricana",5569991,"Ficus costaricana-FICUC2-FIC2"
"ficuc3","ficuc3",NA,NA,"Rosales","Moraceae","Ficus crocata","Mart. ex Miq.","Ficus morazaniana",NA,"Freestanding","Ficus crocata","(Miq.) Mart. ex Miq.","species","Moraceae",FALSE,NA,FALSE,NA,"Ficus crocata",5569828,"Ficus crocata-FICUC3"
"ficuin","ficuin","ficuin","FIIN","Rosales","Moraceae","Ficus insipida","Willd.","Ficus glabrata",NA,"Freestanding","Ficus insipida","Willd.","species","Moraceae",FALSE,FALSE,FALSE,NA,"Ficus insipida",6358534,"Ficus insipida-FICUIN-FIIN"
"ficubu","ficubu","ficubu","FIBU","Rosales","Moraceae","Ficus matiziana","Dugand","Ficus bullenei","R. Pérez 1117","Freestanding","Ficus matiziana","Dugand","species","Moraceae",FALSE,FALSE,FALSE,NA,"Ficus matiziana",5571399,"Ficus matiziana-FICUBU-FIBU"
"ficuma","ficuma","ficuma","FIMA","Rosales","Moraceae","Ficus maxima","Mill.","Ficus glaucescens","R. Pérez 1895","Freestanding","Ficus maxima","Mill.","species","Moraceae",FALSE,FALSE,FALSE,NA,"Ficus maxima",5571386,"Ficus maxima-FICUMA-FIMA"
"ficuny","ficuny","ficuny","FINY","Rosales","Moraceae","Ficus nymphaeifolia","Mill.",NA,NA,"Freestanding","Ficus nymphaeifolia","Mill.","species","Moraceae",FALSE,FALSE,FALSE,NA,"Ficus nymphaeifolia",5570630,"Ficus nymphaeifolia-FICUNY-FINY"
"ficuob","ficuob","ficuob","FIOB","Rosales","Moraceae","Ficus obtusifolia","Kunth",NA,NA,"Freestanding","Ficus obtusifolia","Kunth","species","Moraceae",FALSE,FALSE,FALSE,NA,"Ficus obtusifolia",5361910,"Ficus obtusifolia-FICUOB-FIOB"
NA,NA,NA,"FIPA","Rosales","Moraceae","Ficus paraensis","Miq.",NA,NA,"Freestanding","Ficus paraensis","(Miq.) Miq.","species","Moraceae",FALSE,NA,FALSE,NA,"Ficus paraensis",5569960,"Ficus paraensis-FIPA"
"ficupe","ficupe","ficupe","FIP2","Rosales","Moraceae","Ficus pertusa","L.f.",NA,NA,"Freestanding","Ficus pertusa","L.f.","species","Moraceae",FALSE,FALSE,FALSE,NA,"Ficus pertusa",7944396,"Ficus pertusa-FICUPE-FIP2"
"ficupo","ficupo","ficupo","FIPO","Rosales","Moraceae","Ficus popenoei","Standl.",NA,NA,"Freestanding","Ficus popenoei","Standl.","species","Moraceae",FALSE,FALSE,FALSE,NA,"Ficus popenoei",7262862,"Ficus popenoei-FICUPO-FIPO"
"ficuto","ficuto","ficuto","FITO","Rosales","Moraceae","Ficus tonduzii","Standl.",NA,"R. Pérez 2129","Freestanding","Ficus tonduzii","Standl.","species","Moraceae",FALSE,FALSE,FALSE,NA,"Ficus tonduzii",5572425,"Ficus tonduzii-FICUTO-FITO"
"ficutr","ficutr",NA,"FITR","Rosales","Moraceae","Ficus trigonata","L.",NA,NA,"Freestanding","Ficus trigonata","L.","species","Moraceae",FALSE,NA,FALSE,NA,"Ficus trigonata",5361896,"Ficus trigonata-FICUTR-FITR"
"ficuyo","ficuyo","ficuyo","FIYO","Rosales","Moraceae","Ficus yoponensis","Desv.",NA,"R. Pérez 2187","Freestanding","Ficus yoponensis","Desv.","species","Moraceae",FALSE,FALSE,FALSE,NA,"Ficus yoponensis",5571280,"Ficus yoponensis-FICUYO-FIYO"
"fiscbi","fiscbi",NA,"FISB","Gentianales","Apocynaceae","Fischeria billbergiana","(Beurl.) Morillo",NA,NA,"Climbing","Fischeria billbergiana","(Beurl.) Morillo","species","Apocynaceae",FALSE,NA,FALSE,NA,"Fischeria billbergiana",8235491,"Fischeria billbergiana-FISCBI-FISB"
"forsac","forsac",NA,"FORV","Gentianales","Apocynaceae","Forsteronia acouci","A. DC.","Forsteronia viridescens","R. Pérez 2473 (PMA, SCZ)","Climbing","Forsteronia acouci","(Aubl.) A.DC.","species","Apocynaceae",FALSE,NA,FALSE,NA,"Forsteronia acouci",3618404,"Forsteronia acouci-FORSAC-FORV"
"forsmy","forsmy",NA,"FORM","Gentianales","Apocynaceae","Forsteronia myriantha","Donn. Sm.",NA,NA,"Climbing","Forsteronia myriantha","Donn.Sm.","species","Apocynaceae",FALSE,NA,FALSE,NA,"Forsteronia myriantha",3617628,"Forsteronia myriantha-FORSMY-FORM"
