"sp6","sp6curr","sp6prior","sp4","Current_order","Current_family","Current_name","Current_name_author","synonyms","vouchers","habit","Accepted_name","Accepted_name_author","Accepted_name_rank","Accepted_family","currnamechanged","sp6changed","acceptednamedif","notes","gbif_accepted_scientific_name","gbif_accepted_taxon_id","taxon_code"
"dendar","dendar","dendar","DENA","Apiales","Araliaceae","Dendropanax arboreus","(L.) Decne. & Planch.",NA,"R. Pérez 1808, 2003 y 2109 (PMA, SCZ)","Freestanding","Dendropanax arboreus","(L.) Decne. & Planch.","species","Araliaceae",FALSE,FALSE,FALSE,NA,"Dendropanax arboreus",3035093,"Dendropanax arboreus-DENDAR-DENA"
"des1or","des1or",NA,"DESI","Arecales","Arecaceae","Desmoncus myriacanthos","Dugand","Desmoncus isthmius",NA,"Climbing","Desmoncus myriacanthos","Dugand","species","Arecaceae",FALSE,NA,FALSE,NA,"Desmoncus myriacanthos",2738781,"Desmoncus myriacanthos-DES1OR-DESI"
"des2pa","des2pa","des2pa","DESP","Magnoliales","Annonaceae","Desmopsis panamensis","(B.L. Rob.) Saff.",NA,"R. Pérez 1758 y 1918 (PMA, SCZ)","Freestanding","Desmopsis panamensis","(B.L.Rob.) Saff.","species","Annonaceae",FALSE,FALSE,FALSE,NA,"Desmopsis panamensis",3158129,"Desmopsis panamensis-DES2PA-DESP"
"dialgu","dialgu","dialgu","DIAG","Fabales","Fabaceae","Dialium guianense","(Aubl.) Sandwith",NA,NA,"Freestanding","Dialium guianense","(Aubl.) Sandwith","species","Fabaceae",FALSE,FALSE,FALSE,NA,"Dialium guianense",2971008,"Dialium guianense-DIALGU-DIAG"
"sch2mo","sch2mo",NA,"SCHM","Apiales","Araliaceae","Didymopanax morototoni","(Aubl.) Decne. & Planch.","Schefflera morototoni","R. Pérez 2114 (PMA, SCZ)","Freestanding","Didymopanax morototoni","(Aubl.) Decne. & Planch.","species","Araliaceae",FALSE,NA,FALSE,NA,"Didymopanax morototoni",3038523,"Didymopanax morototoni-SCH2MO-SCHM"
"diocgu","diocgu",NA,"DIOG","Fabales","Fabaceae","Dioclea guianensis","Benth.",NA,NA,"Climbing","Dioclea guianensis","Benth.","species","Fabaceae",FALSE,NA,FALSE,NA,"Dioclea guianensis",5359611,"Dioclea guianensis-DIOCGU-DIOG"
"dio1al","dio1al",NA,"DIO1","Dioscoreales","Dioscoreaceae","Dioscorea alata","L.",NA,NA,"Climbing","Dioscorea alata","L.","species","Dioscoreaceae",FALSE,NA,FALSE,NA,"Dioscorea alata",2754476,"Dioscorea alata-DIO1AL-DIO1"
"dio1ha","dio1ha",NA,"DIOH","Dioscoreales","Dioscoreaceae","Dioscorea haenkeana","C. Presl",NA,NA,"Climbing","Dioscorea haenkeana","C.Presl","species","Dioscoreaceae",FALSE,NA,FALSE,NA,"Dioscorea haenkeana",2754761,"Dioscorea haenkeana-DIO1HA-DIOH"
"dio1ho","dio1ho",NA,NA,"Dioscoreales","Dioscoreaceae","Dioscorea hondurensis","R. Knuth",NA,NA,"Climbing","Dioscorea hondurensis","R.Knuth","species","Dioscoreaceae",FALSE,NA,FALSE,NA,"Dioscorea hondurensis",2755391,"Dioscorea hondurensis-DIO1HO"
"dio1me","dio1me",NA,NA,"Dioscoreales","Dioscoreaceae","Dioscorea mexicana","Scheidw.",NA,NA,"Climbing","Dioscorea mexicana","Scheidw.","species","Dioscoreaceae",FALSE,NA,FALSE,NA,"Dioscorea mexicana",2754517,"Dioscorea mexicana-DIO1ME"
"dio1po","dio1po",NA,"DIOP","Dioscoreales","Dioscoreaceae","Dioscorea polygonoides","Humb. & Bonpl. ex Willd.",NA,NA,"Climbing","Dioscorea polygonoides","Humb. & Bonpl. ex Willd.","species","Dioscoreaceae",FALSE,NA,FALSE,NA,"Dioscorea polygonoides",2754948,"Dioscorea polygonoides-DIO1PO-DIOP"
"dio1tr","dio1tr",NA,NA,"Dioscoreales","Dioscoreaceae","Dioscorea trifida","L. f.",NA,NA,"Climbing","Dioscorea trifida","L.f.","species","Dioscoreaceae",FALSE,NA,FALSE,NA,"Dioscorea trifida",2755239,"Dioscorea trifida-DIO1TR"
"dio1ur","dio1ur",NA,"DIOU","Dioscoreales","Dioscoreaceae","Dioscorea urophylla","Hemsl.",NA,NA,"Climbing","Dioscorea urophylla","Hemsl.","species","Dioscoreaceae",FALSE,NA,FALSE,NA,"Dioscorea urophylla",2755057,"Dioscorea urophylla-DIO1UR-DIOU"
"dio2ar","dio2ar","dio2ar","DIO2","Ericales","Ebenaceae","Diospyros artanthifolia","Mart. ex Miq.",NA,"R. Pérez 2278 (PMA, SCZ)","Freestanding","Diospyros artanthifolia","Mart. ex Miq.","species","Ebenaceae",FALSE,FALSE,FALSE,NA,"Diospyros artanthifolia",7848675,"Diospyros artanthifolia-DIO2AR-DIO2"
"diptpa","diptpa","diptpa","DIPP","Fabales","Fabaceae","Dipteryx oleifera","Benth.","Dipteryx panamensis","R. Pérez 2051 (PMA, SCZ)","Freestanding","Dipteryx oleifera","Benth.","species","Fabaceae",FALSE,FALSE,FALSE,NA,"Dipteryx oleifera",2947126,"Dipteryx oleifera-DIPTPA-DIPP"
"des1er","des1er",NA,NA,"Ranunculales","Menispermaceae","Disciphania ernstii","Eichler",NA,NA,"Climbing","Disciphania ernstii","Eichler","species","Menispermaceae",FALSE,NA,FALSE,NA,"Disciphania ernstii",7268790,"Disciphania ernstii-DES1ER"
"macfun","macfun",NA,"MACU","Lamiales","Bignoniaceae","Dolichandra unguis-cati","(L.) L.G. Lohmann","Macfadyena unguis-cati",NA,"Climbing","Dolichandra unguis-cati","(L.) L.G.Lohmann","species","Bignoniaceae",FALSE,NA,FALSE,NA,"Dolichandra unguis-cati",5830619,"Dolichandra unguis-cati-MACFUN-MACU"
"dolide","dolide",NA,"DOLD","Dilleniales","Dilleniaceae","Doliocarpus dentatus","(Aubl.) Standl.",NA,NA,"Climbing","Doliocarpus dentatus","(Aubl.) Standl.","species","Dilleniaceae",FALSE,NA,FALSE,NA,"Doliocarpus dentatus",7303933,"Doliocarpus dentatus-DOLIDE-DOLD"
"dolima","dolima",NA,"DOL1","Dilleniales","Dilleniaceae","Doliocarpus major","J.F. Gmel.",NA,"R. Pérez 2057 y 2087 (PMA, SCZ)","Climbing","Doliocarpus major","J.F.Gmel.","species","Dilleniaceae",FALSE,NA,FALSE,NA,"Doliocarpus major",3083498,"Doliocarpus major-DOLIMA-DOL1"
"dolimu","dolimu",NA,"DOL2","Dilleniales","Dilleniaceae","Doliocarpus multiflorus","Standl.",NA,"R. Pérez 2216 (PMA, SCZ)","Climbing","Doliocarpus multiflorus","Standl.","species","Dilleniaceae",FALSE,NA,FALSE,NA,"Doliocarpus multiflorus",4163413,"Doliocarpus multiflorus-DOLIMU-DOL2"
"doliol","doliol",NA,"DOLO","Dilleniales","Dilleniaceae","Doliocarpus olivaceus","Sprague & R.O. Williams ex G.E. Hunter",NA,"R. Pérez 2027 (PMA, SCZ)","Climbing","Doliocarpus olivaceus","Sprague & R.O.Williams ex G.E.Hunter","species","Dilleniaceae",FALSE,NA,FALSE,NA,"Doliocarpus olivaceus",7694190,"Doliocarpus olivaceus-DOLIOL-DOLO"
"drymse","drymse",NA,"DRSE","Lamiales","Gesneriaceae","Drymonia serrulata","(Jacq.) Mart.",NA,"R. Pérez 2113 (PMA, SCZ)","Climbing","Drymonia serrulata","(Jacq.) Mart.","species","Gesneriaceae",FALSE,NA,FALSE,NA,"Drymonia serrulata",5590493,"Drymonia serrulata-DRYMSE-DRSE"
"drypst","drypst","drypst","DRYS","Malpighiales","Putranjivaceae","Drypetes standleyi","G.L. Webster",NA,"R. Pérez 1966","Freestanding","Drypetes standleyi","G.L.Webster","species","Putranjivaceae",FALSE,FALSE,FALSE,NA,"Drypetes standleyi",3075619,"Drypetes standleyi-DRYPST-DRYS"
"elaeol","elaeol","elaeol","ELAO","Arecales","Arecaceae","Elaeis oleifera","(Kunth) Cortés",NA,NA,"Freestanding","Elaeis oleifera","(Kunth) Cortés","species","Arecaceae",FALSE,FALSE,FALSE,NA,"Elaeis oleifera",8791596,"Elaeis oleifera-ELAEOL-ELAO"
"entagi","entagi",NA,"ENTM","Fabales","Fabaceae","Entada gigas","(L.) Fawc. & Rendle",NA,NA,"Climbing","Entada gigas","(L.) Fawc. & Rendle","species","Fabaceae",FALSE,NA,FALSE,NA,"Entada gigas",2976183,"Entada gigas-ENTAGI-ENTM"
"entapo","entapo",NA,"ADEP","Fabales","Fabaceae","Entada polystachya","(L.) DC.","Entadopsis polystachya",NA,"Climbing","Entada polystachya","(L.) DC.","species","Fabaceae",FALSE,NA,FALSE,NA,"Entada polystachya",2976206,"Entada polystachya-ENTAPO-ADEP"
"entecy","entecy","entecy","ENTC","Fabales","Fabaceae","Enterolobium cyclocarpum","(Jacq.) Griseb.",NA,NA,"Freestanding","Enterolobium cyclocarpum","(Jacq.) Griseb.","species","Fabaceae",FALSE,FALSE,FALSE,NA,"Enterolobium cyclocarpum",2961150,"Enterolobium cyclocarpum-ENTECY-ENTC"
"ery1co","ery1co","ery1co","ERYC","Fabales","Fabaceae","Erythrina costaricensis","Micheli",NA,NA,"Freestanding","Erythrina costaricensis","Micheli","species","Fabaceae",FALSE,FALSE,FALSE,NA,"Erythrina costaricensis",5349770,"Erythrina costaricensis-ERY1CO-ERYC"
"ery1fu","ery1fu","ery1fu",NA,"Fabales","Fabaceae","Erythrina fusca","Lour.",NA,NA,"Freestanding","Erythrina fusca","Lour.","species","Fabaceae",FALSE,FALSE,FALSE,NA,"Erythrina fusca",5349620,"Erythrina fusca-ERY1FU"
"ery2ma","ery2ma","ery2ma","ERYM","Malpighiales","Erythroxylaceae","Erythroxylum macrophyllum","Cav.",NA,"R. Pérez 2094 (PMA, SCZ)","Freestanding","Erythroxylum macrophyllum","Cav.","species","Erythroxylaceae",FALSE,FALSE,FALSE,NA,"Erythroxylum macrophyllum",7870294,"Erythroxylum macrophyllum-ERY2MA-ERYM"
"ery2pa","ery2pa","ery2pa","ERYP","Malpighiales","Erythroxylaceae","Erythroxylum panamense","Turcz.",NA,"R. Pérez 2274 (PMA, SCZ)","Freestanding","Erythroxylum panamense","Turcz.","species","Erythroxylaceae",FALSE,FALSE,FALSE,NA,"Erythroxylum panamense",3694401,"Erythroxylum panamense-ERY2PA-ERYP"
"eugeco","eugeco",NA,"EUGC","Myrtales","Myrtaceae","Eugenia florida","DC.","Eugenia coloradoensis","R. Pérez 1909","Freestanding","Eugenia florida","DC.","species","Myrtaceae",FALSE,NA,FALSE,NA,"Eugenia florida",5417919,"Eugenia florida-EUGECO-EUGC"
"eugega","eugega","eugega","EUGG","Myrtales","Myrtaceae","Eugenia galalonensis","(C. Wright ex Griseb.) Krug & Urb.",NA,"R. Pérez 2245","Freestanding","Eugenia galalonensis","(C.Wright ex Griseb.) Krug & Urb.","species","Myrtaceae",FALSE,FALSE,FALSE,NA,"Eugenia galalonensis",5416878,"Eugenia galalonensis-EUGEGA-EUGG"
"eugesa","eugesa","eugesa",NA,"Myrtales","Myrtaceae","Eugenia hiraeifolia","Standl.","Eugenia salamensis",NA,"Freestanding","Eugenia hiraeifolia","Standl.","species","Myrtaceae",FALSE,FALSE,FALSE,NA,"Eugenia hiraeifolia",5417041,"Eugenia hiraeifolia-EUGESA"
"eugene","eugene","eugene","EUGN","Myrtales","Myrtaceae","Eugenia nesiotica","Standl.",NA,"R. Pérez 2023","Freestanding","Eugenia nesiotica","Standl.","species","Myrtaceae",FALSE,FALSE,FALSE,NA,"Eugenia nesiotica",5417636,"Eugenia nesiotica-EUGENE-EUGN"
"eugeoe","eugeoe","eugeoe","EUGO","Myrtales","Myrtaceae","Eugenia oerstediana","O. Berg",NA,"R. Pérez 2172","Freestanding","Eugenia oerstediana","O.Berg","species","Myrtaceae",FALSE,FALSE,FALSE,NA,"Eugenia oerstediana",5418017,"Eugenia oerstediana-EUGEOE-EUGO"
"eugepr","eugepr","eugepr","EUGP","Myrtales","Myrtaceae","Eugenia principium","McVaugh",NA,NA,"Freestanding","Eugenia principium","McVaugh","species","Myrtaceae",FALSE,FALSE,FALSE,NA,"Eugenia principium",5417515,"Eugenia principium-EUGEPR-EUGP"
"eugeun","eugeun",NA,"EUGU","Myrtales","Myrtaceae","Eugenia uniflora","L.",NA,NA,"Freestanding","Eugenia uniflora","L.","species","Myrtaceae",FALSE,NA,FALSE,NA,"Eugenia uniflora",5416458,"Eugenia uniflora-EUGEUN-EUGU"
"eugeve","eugeve","eugeve","EUGV","Myrtales","Myrtaceae","Eugenia venezuelensis","O. Berg","Eugenia origanoides","R. Pérez 2360","Freestanding","Eugenia venezuelensis","O.Berg","species","Myrtaceae",FALSE,FALSE,FALSE,NA,"Eugenia venezuelensis",5417525,"Eugenia venezuelensis-EUGEVE-EUGV"
"swarpa","swarpa","swarpa","SWAP","Fabales","Fabaceae","Fairchildia panamensis","(Benth.) Britton & Rose","Swartzia panamensis",NA,"Freestanding","Fairchildia panamensis","(Benth.) Britton & Rose","species","Fabaceae",FALSE,FALSE,FALSE,NA,"Fairchildia panamensis",2951308,"Fairchildia panamensis-SWARPA-SWAP"
"faralu","faralu","faralu","FARL","Gentianales","Rubiaceae","Faramea luteovirens","Standl.",NA,NA,"Freestanding","Faramea luteovirens","Standl.","species","Rubiaceae",FALSE,FALSE,FALSE,NA,"Faramea luteovirens",2898057,"Faramea luteovirens-FARALU-FARL"
"faraoc","faraoc","faraoc","FARO","Gentianales","Rubiaceae","Faramea occidentalis","(L.) A. Rich.",NA,"R. Pérez 1752","Freestanding","Faramea occidentalis","(L.) A.Rich.","species","Rubiaceae",FALSE,FALSE,FALSE,NA,"Faramea occidentalis",2898087,"Faramea occidentalis-FARAOC-FARO"
"fevico","fevico",NA,"FEVC","Cucurbitales","Cucurbitaceae","Fevillea cordifolia","L.",NA,"R. Pérez 2213 (PMA, SCZ)","Climbing","Fevillea cordifolia","L.","species","Cucurbitaceae",FALSE,NA,FALSE,NA,"Fevillea cordifolia",2874555,"Fevillea cordifolia-FEVICO-FEVC"
"ficuam","ficuam",NA,"FIP1","Rosales","Moraceae","Ficus americana","Aubl.","Ficus perforata","R. Pérez 2363","Freestanding","Ficus americana","Aubl.","species","Moraceae",FALSE,NA,FALSE,NA,"Ficus americana",5361926,"Ficus americana-FICUAM-FIP1"
"ficuci","ficuci","ficuci","FICI","Rosales","Moraceae","Ficus citrifolia","Mill.",NA,NA,"Freestanding","Ficus citrifolia","Mill.","species","Moraceae",FALSE,FALSE,FALSE,NA,"Ficus citrifolia",5361938,"Ficus citrifolia-FICUCI-FICI"
