taxon_code,gbif_accepted_taxon_id,gbif_accepted_scientific_name,habit
Didymopanax morototoni-SCH2MO-SCHM,3038523,Didymopanax morototoni,Freestanding
Diospyros artanthifolia-DIO2AR-DIO2,7848675,Diospyros artanthifolia,Freestanding
Dipteryx oleifera-DIPTPA-DIPP,2947126,Dipteryx oleifera,Freestanding
Drypetes standleyi-DRYPST-DRYS,3075619,Drypetes standleyi,Freestanding
Drypetes-DRYP2,3075615,Drypetes,Freestanding
Elaeis oleifera-ELAEOL-ELAO,8791596,Elaeis oleifera,Freestanding
Enterolobium cyclocarpum-ENTECY-ENTC,2961150,Enterolobium cyclocarpum,Freestanding
Erythrina costaricensis-ERY1CO-ERYC,5349770,Erythrina costaricensis,Freestanding
Erythrina fusca-ERY1FU,5349620,Erythrina fusca,Freestanding
Erythroxylum macrophyllum-ERY2MA-ERYM,7870294,Erythroxylum macrophyllum,Freestanding
Erythroxylum panamense-ERY2PA-ERYP,3694401,Erythroxylum panamense,Freestanding
Erythroxylum-ERY22,2873937,Erythroxylum,Freestanding
Eugenia florida-EUGECO-EUGC,5417919,Eugenia florida,Freestanding
Eugenia galalonensis-EUGEGA-EUGG,5416878,Eugenia galalonensis,Freestanding
Eugenia hiraeifolia-EUGESA,5417041,Eugenia hiraeifolia,Freestanding
Eugenia nesiotica-EUGENE-EUGN,5417636,Eugenia nesiotica,Freestanding
Eugenia oerstediana-EUGEOE-EUGO,5418017,Eugenia oerstediana,Freestanding
Eugenia principium-EUGEPR-EUGP,5417515,Eugenia principium,Freestanding
Eugenia uniflora-EUGEUN-EUGU,5416458,Eugenia uniflora,Freestanding
Eugenia venezuelensis-EUGEVE-EUGV,5417525,Eugenia venezuelensis,Freestanding
Eugenia-EUGE6,3177662,Eugenia,Freestanding
Fairchildia panamensis-SWARPA-SWAP,2951308,Fairchildia panamensis,Freestanding
Faramea luteovirens-FARALU-FARL,2898057,Faramea luteovirens,Freestanding
Faramea occidentalis-FARAOC-FARO,2898087,Faramea occidentalis,Freestanding
Ficus americana-FICUAM-FIP1,5361926,Ficus americana,Freestanding
Ficus citrifolia-FICUCI-FICI,5361938,Ficus citrifolia,Freestanding
Ficus colubrinae-FICUC1-FIC1,5570299,Ficus colubrinae,Freestanding
Ficus costaricana-FICUC2-FIC2,5569991,Ficus costaricana,Freestanding
Ficus crocata-FICUC3,5569828,Ficus crocata,Freestanding
Ficus insipida-FICUIN-FIIN,6358534,Ficus insipida,Freestanding
Ficus matiziana-FICUBU-FIBU,5571399,Ficus matiziana,Freestanding
Ficus maxima-FICUMA-FIMA,5571386,Ficus maxima,Freestanding
Ficus nymphaeifolia-FICUNY-FINY,5570630,Ficus nymphaeifolia,Freestanding
Ficus obtusifolia-FICUOB-FIOB,5361910,Ficus obtusifolia,Freestanding
Ficus paraensis-FIPA,5569960,Ficus paraensis,Freestanding
Ficus pertusa-FICUPE-FIP2,7944396,Ficus pertusa,Freestanding
Ficus popenoei-FICUPO-FIPO,7262862,Ficus popenoei,Freestanding
Ficus tonduzii-FICUTO-FITO,5572425,Ficus tonduzii,Freestanding
Ficus trigonata-FICUTR-FITR,5361896,Ficus trigonata,Freestanding
Ficus yoponensis-FICUYO-FIYO,5571280,Ficus yoponensis,Freestanding
Garcia nutans-GARCNU-GARN,3071459,Garcia nutans,Freestanding
Garcinia intermedia-GAR2IN-RHEE,3714243,Garcinia intermedia,Freestanding
Garcinia madruno-GAR2MA-RHEA,3713863,Garcinia madruno,Freestanding
Garcinia mangostana-GAR2M2,3189571,Garcinia mangostana,Freestanding
Genipa americana-GENIAM-GENA,2895593,Genipa americana,Freestanding
Geonoma cuneata-GEONCU-GEOC,2734082,Geonoma cuneata,Freestanding
Geonoma interrupta-GEONIN-GEOI,2734323,Geonoma interrupta,Freestanding
Gliricidia sepium-GLIRSE,8082978,Gliricidia sepium,Freestanding
Grias cauliflora-GRIACA-GRIF,3082334,Grias cauliflora,Freestanding
Guapira myrtiflora-GUAPST-GUAS,3701155,Guapira myrtiflora,Freestanding
Guarea grandifolia-GUARGR-GUA1,3190500,Guarea guidonia,Freestanding
Guarea guidonia-GUARGU-GUA2,3190500,Guarea guidonia,Freestanding
Guatteria amplifolia-GUATAM-GUAA,3155625,Guatteria amplifolia,Freestanding
Guatteria lucens-GUATDU-GUAD,3155712,Guatteria lucens,Freestanding
Guazuma ulmifolia-GUAZUL-GUAU,3152195,Guazuma ulmifolia,Freestanding
Guettarda foliacea-GUETFO-GUEF,2894890,Guettarda foliacea,Freestanding
Gustavia fosteri-GUSTFO-GUSF,5383826,Gustavia fosteri,Freestanding
Gustavia superba-GUSTSU-GUSS,5383848,Gustavia superba,Freestanding
Hamelia axillaris-HAMEAX-HAM1,2902047,Hamelia axillaris,Freestanding
Hamelia patens-HAMEPA-HAMP,2902066,Hamelia patens,Freestanding
Hampea albipetala-HAMPAL,3940473,Hampea albipetala,Freestanding
Hampea appendiculata-HAMPAP-HAM2,7279624,Hampea appendiculata,Freestanding
Handroanthus guayacan-TAB1GU-TABG,4092274,Handroanthus guayacan,Freestanding
Handroanthus ochraceus-TAB1OC-TABO,4092146,Handroanthus ochraceus,Freestanding
Hasseltia floribunda-HASSFL-HASF,7760145,Hasseltia floribunda,Freestanding
Heisteria acuminata-HEISAC-HEIA,7222047,Heisteria acuminata,Freestanding
Heisteria concinna-HEISCO-HEIC,7432012,Heisteria concinna,Freestanding
Heisteria costaricensis-HEISC1-HEI2,8046878,Heisteria macrophylla,Freestanding
Heisteria macrophylla-HEISMA,8046878,Heisteria macrophylla,Freestanding
Heliocarpus americanus-HELIAM-HELP,4259460,Heliocarpus americanus,Freestanding
Henriettea succosa-HENRSU,3860494,Henriettea succosa,Freestanding
Herrania purpurea-HERRPU-HERP,3668083,Herrania purpurea,Freestanding
Hibiscus bifurcatus,3152591,Hibiscus bifurcatus,Freestanding
Hibiscus rosa-sinensis-HIBIRO,3152559,Hibiscus rosa-sinensis,Freestanding
Hieronyma alchorneoides-HYERAL-HYEL,3079092,Hieronyma alchorneoides,Freestanding
Hirtella americana-HIRTAM-HIRA,2985148,Hirtella americana,Freestanding
Hirtella racemosa-HIRTRA-HIR2,2985122,Hirtella racemosa,Freestanding
Hirtella triandra-HIRTTR-HIRT,2985089,Hirtella triandra,Freestanding
Hura crepitans-HURACR-HURC,5380015,Hura crepitans,Freestanding
Hymenaea courbaril-HYMECO-HYMC,2950750,Hymenaea courbaril,Freestanding
Inga acuminata-INGAS1-INAC,5357542,Inga acuminata,Freestanding
Inga alba-INGAAL,5358137,Inga alba,Freestanding
Inga cocleensis-INGACO-INCO,5358068,Inga cocleensis,Freestanding
