"taxon_code","gbif_accepted_taxon_id","gbif_accepted_scientific_name","habit"
"Averrhoa",9407103,"Averrhoa",""
"Averrhoa carambola-AVERCA",2891641,"Averrhoa carambola","Freestanding"
"Avicennia",2925398,"Avicennia",""
"Axinaea",3231522,"Axinaea",""
"Ayenia",3152178,"Ayenia",""
"Azadirachta",3190473,"Azadirachta",""
"Bactris",2732906,"Bactris",""
"Bactris barronis-BACTBA-BACB",2732931,"Bactris barronis","Freestanding"
"Bactris coloniata-BACTC1-BAC1",2733315,"Bactris coloniata","Freestanding"
"Bactris coloradonis-BACTC2-BAC2",2733336,"Bactris coloradonis","Freestanding"
"Bactris gasipaes-BACTGA",2733060,"Bactris gasipaes","Freestanding"
"Bactris major-BACTMA-BACM",2733004,"Bactris major","Freestanding"
"Balizia",9596304,"Balizia",""
"Banara",2874154,"Banara",""
"Banara guianensis-BANAGU-BANG",7274188,"Banara guianensis","Freestanding"
"Banisteriopsis",7618041,"Banisteriopsis",""
"Barnebydendron",7278343,"Barnebydendron",""
"Batocarpus",6358620,"Batocarpus",""
"Bauhinia",2952935,"Bauhinia",""
"Bauhinia monandra-BAUHMO",2953715,"Bauhinia monandra","Freestanding"
"Bauhinia purpurea-BAUHPU",2953871,"Bauhinia purpurea","Freestanding"
"Beilschmiedia",3034072,"Beilschmiedia",""
"Beilschmiedia pendula",3034073,"Beilschmiedia pendula","Freestanding"
"Beilschmiedia tovarensis-BEILPE-BEIP",4182784,"Beilschmiedia tovarensis","Freestanding"
"Bejaria",2882719,"Bejaria",""
"Bellucia",3866386,"Bellucia",""
"Bellucia grossularioides-BELLGR",3866649,"Bellucia grossularioides","Freestanding"
"Bernoullia",6598522,"Bernoullia",""
"Bertiera",8303739,"Bertiera",""
"Bertiera guianensis-BERTGU-BERG",2908816,"Bertiera guianensis","Freestanding"
"Besleria",6365035,"Besleria",""
"Betulaceae",4688,"Betulaceae",""
"Bia",8259860,"Bia",""
"Bidens",3105856,"Bidens",""
"Bignonia",3172515,"Bignonia",""
"Bignonia aequinoctialis-CYDIAE-CYDA",3172559,"Bignonia aequinoctialis","Climbing"
"Bignonia binata-CLYTBI-CLYB",4094291,"Bignonia binata","Climbing"
"Bignonia corymbosa-PHRYCO-PHRC",6710599,"Bignonia corymbosa","Climbing"
"Bignoniaceae",6655,"Bignoniaceae",""
"Billia",7323128,"Billia",""
"Bixa",2874862,"Bixa",""
"Bixa orellana-BIXAOR",2874863,"Bixa orellana","Freestanding"
"Bixa urucurana-BIXAUR",4087112,"Bixa urucurana","Freestanding"
"Bixaceae",6637,"Bixaceae",""
"Blakea",3231475,"Blakea",""
"Blakea parasitica-TOPOPA-TOPP",5600218,"Blakea parasitica","Climbing"
"Blepharodon",7312650,"Blepharodon",""
"Blighia",3189954,"Blighia",""
"Bocconia",2888373,"Bocconia",""
"Boehmeria",2984344,"Boehmeria",""
"Bonamia",9766793,"Bonamia",""
"Bonamia trichantha-BONATR-BONT",7324476,"Bonamia trichantha","Climbing"
"Bonellia",8100196,"Bonellia",""
"Bonellia macrocarpa-JACQMA",7151936,"Bonellia macrocarpa","Freestanding"
"Boraginaceae",2498,"Boraginaceae",""
"Bourreria",2926097,"Bourreria",""
"Brachistus",7299796,"Brachistus",""
"Bravaisia",7264177,"Bravaisia",""
"Bribria",10977818,"Bribria",""
"Bribria crenata-RINOCR",11081627,"Bribria crenata","Freestanding"
"Bronwenia",7285159,"Bronwenia",""
"Bronwenia wurdackii-BANIWU",3984163,"Bronwenia wurdackii","Climbing"
"Brosimum",2984656,"Brosimum",""
"Brosimum alicastrum-BROSAL-BROA",2984660,"Brosimum alicastrum","Freestanding"
"Brownea",2970433,"Brownea",""
"Brownea macrophylla-BROWMA",8170495,"Brownea macrophylla","Freestanding"
"Browneopsis",2944236,"Browneopsis",""
"Bruceholstia",11609897,"Bruceholstia",""
"Brugmansia",2928883,"Brugmansia",""
"Brunellia",2986074,"Brunellia",""
"Brunelliaceae",6670,"Brunelliaceae",""
"Brunfelsia",2932910,"Brunfelsia",""
"Buddleja",3173330,"Buddleja",""
"Bunchosia",7404976,"Bunchosia",""
"Bunchosia nitida-BUNCCO-BUNC",3191335,"Bunchosia nitida","Freestanding"
"Bursera",3190446,"Bursera",""
"Bursera simaruba-BURSSI-BURS",3190450,"Bursera simaruba","Freestanding"
"Burseraceae",6659,"Burseraceae",""
"Buxaceae",6703,"Buxaceae",""
"Buxus",2984666,"Buxus",""
"Byrsonima",3191347,"Byrsonima",""
"Byrsonima crassifolia-BYRSCR-BYRC",3191361,"Byrsonima crassifolia","Freestanding"
"Byrsonima spicata-BYRSSP-BYRS",3191348,"Byrsonima spicata","Freestanding"
"Byttneria",7445609,"Byttneria",""
"Cactaceae",2519,"Cactaceae",""
"Caesalpinia",2958443,"Caesalpinia",""
"Caesalpinia pulcherrima-CAESPU",2958715,"Caesalpinia pulcherrima","Freestanding"
"Cajanus",2960263,"Cajanus",""
"Cajanus cajan-CAJACA",7587087,"Cajanus cajan","Freestanding"
"Calatola",7314407,"Calatola",""
"Calliandra",2981784,"Calliandra",""
"Callianthe",8207961,"Callianthe",""
"Callicarpa",2925549,"Callicarpa",""
"Callichlamys",3233574,"Callichlamys",""
"Callichlamys latifolia-CAL5LA-CAL1",8338389,"Callichlamys latifolia","Climbing"
"Calophyllaceae",4907584,"Calophyllaceae",""
"Calophyllum",3189443,"Calophyllum",""
"Calophyllum longifolium-CALOLO-CAL2",8223607,"Calophyllum longifolium","Freestanding"
"Calopogonium",2959416,"Calopogonium",""
"Calopogonium caeruleum",7661174,"Calopogonium caeruleum","Climbing"
"Calopogonium mucunoides-CAL6MU",2959433,"Calopogonium mucunoides","Climbing"
"Calycolpus",3177606,"Calycolpus",""
"Calycolpus warszewiczianus-CAL1WA-CALW",8353141,"Calycolpus warszewiczianus","Freestanding"
"Calycophyllum",2903995,"Calycophyllum",""
"Calycophyllum candidissimum-CAL2CA-CALC",2904009,"Calycophyllum candidissimum","Freestanding"
"Calyptrion",7720745,"Calyptrion",""
"Calyptrogyne",2732316,"Calyptrogyne",""
"Camonea",9637520,"Camonea",""
"Campanulaceae",8801,"Campanulaceae",""
"Campnosperma",7160813,"Campnosperma",""
"Cananga",5407582,"Cananga",""
"Canarium",3190431,"Canarium",""
"Canavalia",8285917,"Canavalia",""
"Canavalia brasiliensis-CAL2BR-CAND",2962154,"Canavalia brasiliensis","Climbing"
"Cannabaceae",2384,"Cannabaceae",""
"Caphexandra",8346879,"Caphexandra",""
"Capparaceae",3111,"Capparaceae",""
"Capparidastrum",6370671,"Capparidastrum",""
"Carapa",3190512,"Carapa",""
"Cardiopteridaceae",3233863,"Cardiopteridaceae",""
"Carica",2874482,"Carica",""
"Carica papaya-CARIPA",2874484,"Carica papaya","Freestanding"
"Caricaceae",6636,"Caricaceae",""
"Cariniana",3083017,"Cariniana",""
"Carissa",3169761,"Carissa",""
"Carolus",3231247,"Carolus",""
"Carpotroche",7274050,"Carpotroche",""
"Caryocar",3189661,"Caryocar",""
"Caryocaraceae",6647,"Caryocaraceae",""
"Caryodaphnopsis",7304487,"Caryodaphnopsis",""
"Caryodendron",3055896,"Caryodendron",""
"Caryota",2738880,"Caryota",""
"Cascabela",7950372,"Cascabela",""
"Casearia",2874105,"Casearia",""
"Casearia aculeata-CASEAC-CAS1",5331145,"Casearia aculeata","Freestanding"
"Casearia arborea-CASEAR-CAS2",5331149,"Casearia arborea","Freestanding"
"Casearia arguta-CASEA1",7595115,"Casearia arguta","Freestanding"
"Casearia bicolor-LAETPR-LAEP",5331156,"Casearia bicolor","Freestanding"
"Casearia guianensis-CASEGU-CASG",5331144,"Casearia guianensis","Freestanding"
"Casearia sylvestris-CASESY-CASS",5331148,"Casearia sylvestris","Freestanding"
"Cassia",2963414,"Cassia",""
"Cassipourea elliptica-CASSEL-CAS3",7273558,"Cassipourea elliptica","Freestanding"
"Cassipourea-CASS1",3086519,"Cassipourea","Freestanding"
"Cassipourea-CASS2",3086519,"Cassipourea","Freestanding"
"Castilla",2984557,"Castilla",""
"Castilla elastica-CASTEL-CAS4",7531920,"Castilla elastica","Freestanding"
"Cavanillesia",7296146,"Cavanillesia",""
"Cavanillesia platanifolia-CAVAPL-CAVP",4073280,"Cavanillesia platanifolia","Freestanding"
"Cavendishia",3234119,"Cavendishia",""
"Cayaponia",2874613,"Cayaponia",""
"Cayaponia glandulosa-CAYAGL",3623745,"Cayaponia glandulosa","Climbing"
"Cayaponia granatensis-CAYAGR-CAYG",3623677,"Cayaponia granatensis","Climbing"
"Cayaponia racemosa-CAYARA-CAYR",2874614,"Cayaponia racemosa","Climbing"
"Cayaponia sessiliflora-CAYASE",3622786,"Cayaponia sessiliflora","Climbing"
"Cecropia",2984472,"Cecropia",""
"Cecropia insignis-CECRIN-CECI",4013292,"Cecropia insignis","Freestanding"
"Cecropia longipes-CECRLO-CECL",4013134,"Cecropia longipes","Freestanding"
"Cecropia obtusifolia-CECROB-CECO",2984473,"Cecropia obtusifolia","Freestanding"
"Cecropia peltata-CECRPE-CECP",2984476,"Cecropia peltata","Freestanding"
"Cedrela",3190510,"Cedrela",""
"Cedrela odorata-CEDROD-CEDO",3190511,"Cedrela odorata","Freestanding"
"Ceiba",3152218,"Ceiba",""
"Ceiba pentandra-CEIBPE-CEIP",5406697,"Ceiba pentandra","Freestanding"
"Celastraceae",6715,"Celastraceae",""
"Celtis",2984479,"Celtis",""
"Celtis iguanaea-CELTIG-CELI",2984498,"Celtis iguanaea","Climbing"
"Celtis schippii-CELTSC-CELS",4159734,"Celtis schippii","Freestanding"
"Cenostigma",2947114,"Cenostigma",""
"Centrolobium",2945568,"Centrolobium",""
"Centropogon",7815589,"Centropogon",""
"Centrosema",2964887,"Centrosema",""
"Centrosema pubescens-CEN2PU-CENP",2964904,"Centrosema pubescens","Climbing"
"Cespedesia",7326758,"Cespedesia",""
"Cespedesia spathulata-CESPMA-CES1",3695801,"Cespedesia spathulata","Freestanding"
"Cestrum",2928784,"Cestrum",""
"Cestrum latifolium-CESTLA-CESL",8131064,"Cestrum latifolium","Freestanding"
"Cestrum racemosum-CESTRA-CESR",7299919,"Cestrum racemosum","Freestanding"
"Cestrum schlechtendalii-CESTME-CES2",3801334,"Cestrum schlechtendalii","Freestanding"
"Chamaedorea",2734376,"Chamaedorea",""
"Chamaedorea tepejilote-CHA1TE-CHAW",2734551,"Chamaedorea tepejilote","Freestanding"
"Chamguava",3186024,"Chamguava",""
"Chamguava schippii-CHA2SC-PSIA",3186028,"Chamguava schippii","Freestanding"
"Cheiloclinium",7265392,"Cheiloclinium",""
"Chimarrhis",2918950,"Chimarrhis",""
"Chiococca",2907380,"Chiococca",""
"Chiococca belizensis-CHI2BE",2907391,"Chiococca belizensis","Climbing"
"Chionanthus",7906922,"Chionanthus",""
"Chione",2908033,"Chione",""
"Chloranthaceae",6679,"Chloranthaceae",""
"Chloroleucon",2943030,"Chloroleucon",""
"Chloropetalum",10252941,"Chloropetalum",""
"Chomelia",2903121,"Chomelia",""
"Chomelia psilocarpa-CHOMPS-CHOP",5337286,"Chomelia psilocarpa","Climbing"
"Chondrodendron",3033957,"Chondrodendron",""
"Chondrodendron tomentosum-CHONTO-CHOT",3033958,"Chondrodendron tomentosum","Climbing"
"Christianella",3231253,"Christianella",""
"Chromolucuma",2883684,"Chromolucuma",""
"Chrysobalanaceae",9111,"Chrysobalanaceae",""
"Chrysobalanus",8241761,"Chrysobalanus",""
"Chrysochlamys",3231115,"Chrysochlamys",""
"Chrysochlamys eclipes-CHR1EC-CHRE",5555749,"Chrysochlamys eclipes","Freestanding"
"Chrysochlamys myrcioides-CHR1GR",5555719,"Chrysochlamys myrcioides","Freestanding"
"Chrysochlamys nicaraguensis-CHR1NI-TOVN",5555717,"Chrysochlamys nicaraguensis","Freestanding"
"Chrysophyllum",2885576,"Chrysophyllum",""
